NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS
matthew longstaff,20,12.0,MF,5,4,377,0,0,0,0,0,0,0.0,0.2,0,8,1,0,10,0
mason greenwood,18,2.0,FW,31,21,1822,7,2,0,0,2,0,6.0,2.2,0,23,7,0,106,71
joe rodon,22,7.0,DF,12,8,733,0,0,0,0,0,0,0.0,0.0,0,12,2,0,27,3
jonny evans,32,5.0,DF,28,28,2473,2,2,0,0,7,0,1.7,0.4,1,31,10,0,109,39
jack grealish,24,11.0,"FW,MF",26,24,2185,6,10,0,0,6,0,4.6,7.4,0,28,12,0,135,86
carney chukwuemeka,16,11.0,"MF,FW",2,0,20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,16
vladimir coufal,27,6.0,DF,34,34,3054,0,7,0,0,3,0,1.3,5.5,0,43,9,0,128,70
jacob ramsey,19,11.0,MF,22,6,626,0,0,0,0,0,0,0.5,0.3,0,10,2,0,28,109
adama traore,24,13.0,"FW,MF",37,28,2649,2,2,0,0,4,0,2.0,4.8,0,41,7,0,94,44
lewis richardson,17,17.0,"FW,MF",4,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
antonio rudiger,27,4.0,DF,19,19,1710,1,0,0,0,0,0,1.3,0.4,1,10,11,0,93,150
callum wilson,28,12.0,FW,26,23,2084,12,5,4,0,2,0,12.4,2.8,0,37,5,0,134,75
kasper schmeichel,33,5.0,GK,38,38,3420,0,0,0,0,0,0,0.0,0.0,1,50,11,88,128,131
theo walcott,31,12.5,FW,22,20,1631,3,3,0,0,0,0,2.3,1.0,0,56,10,0,152,12
danny welbeck,29,16.0,FW,24,17,1545,6,1,0,1,0,0,6.6,2.8,0,18,6,0,89,89
tyrick mitchell,20,14.0,DF,19,19,1710,1,1,0,0,1,0,0.8,0.2,0,32,4,0,58,109
mohammed salisu,21,15.0,DF,12,8,844,0,0,0,0,1,0,0.3,0.4,0,19,0,0,14,58
eberechi eze,22,14.0,MF,34,29,2559,4,6,0,0,3,0,2.2,3.9,0,51,6,0,125,31
lucas digne,27,10.0,"DF,MF",30,30,2681,0,7,0,0,2,1,0.5,5.2,0,42,9,0,120,83
josh brownhill,24,17.0,MF,33,32,2813,0,1,0,0,2,0,1.9,0.7,0,42,10,0,74,92
hakim ziyech,27,4.0,"MF,FW",23,15,1172,2,3,0,0,3,0,1.9,3.6,0,7,10,0,70,79
