,NAME,RK,POSITION,COST,Predicted_Points
128,luke harris,13,MF,45,32.286063210870815
129,will hughes,10,MF,50,47.7188975240787
130,alfie gilchrist,6,DF,40,39.821397455866105
131,diogo teixeira da silva,3,MF,75,96.07710235105812
132,andre onana,8,GK,50,103.9947666818185
133,martin dubravka,7,GK,45,29.141847176777016
134,facundo buonanotte,20,MF,50,68.81099177450952
135,bruno borges fernandes,8,MF,85,164.29235443413071
136,joel ward,10,DF,45,33.96343944740396
137,emerson leite de souza junior,5,DF,45,29.01974561596582
138,adama traore,13,MF,50,28.951403637925562
139,nicolas dominguez,17,MF,50,48.349026282203305
140,william saliba,2,DF,60,111.27376161378041
141,jan paul van hecke,11,DF,45,66.16554039246469
142,bryan gil salvatierra,5,MF,50,34.17641646477785
143,emerson palmieri dos santos,9,DF,45,28.32515261161317
144,enzo fernandez,6,MF,50,92.79821174916033
145,antoine semenyo,12,MF,55,94.91245369461656
146,elliot anderson,17,MF,50,59.14393990085512
147,pascal groß,11,MF,65,116.0160807455492
148,maxwel cornet,9,MF,50,26.282004765454
149,mark travers,12,GK,45,35.290665701579925
150,romain faivre,12,MF,50,27.551469490944836
151,levi colwill,6,DF,45,60.417376232188396
152,morgan gibbs-white,17,MF,65,130.58439734909413
153,lewis miley,7,MF,50,63.837176552255485
154,james garner,15,MF,50,83.5765866644101
155,mads roerslev rasmussen,16,DF,45,43.41027397835081
156,lucas digne,4,DF,45,60.18859247004058
157,abdoulaye doucoure,15,MF,55,83.38080164074555
158,sasa lukic,13,MF,50,37.75227610733059
159,sasa kalajdzic,14,FW,50,28.459961673332202
160,darwin nunez ribeiro,3,FW,75,146.46995130932908
161,max aarons,12,DF,45,35.55058155390788
162,vladimir coufal,9,DF,45,59.29325668975119
163,joe gomez,3,DF,50,57.76672906760251
164,dango ouattara,12,MF,50,57.5904528792166
165,ethan nwaneri,2,MF,45,14.246224327602725
166,curtis jones,3,MF,55,46.27761299759143
167,bernardo veiga de carvalho e silva,1,MF,65,116.65307578015153
168,kaine kesler-hayden,4,DF,40,24.31925722253598
169,lewis hall,7,DF,45,34.43071433145169
170,raheem sterling,6,MF,70,98.06721245020167
171,leander dendoncker,4,MF,45,30.78675244673691
172,harvey barnes,7,MF,65,60.285656674873835
173,eberechi eze,10,MF,70,124.41617160448321
174,jarell quansah,3,DF,45,54.473170602844334
175,malo gusto,6,DF,50,79.63955421017873
176,jarrad branthwaite,15,DF,50,82.99222720459022
177,mathias jensen,16,MF,55,62.18797977430535
178,naouirou ahamada,10,MF,45,46.20506174071966
179,konstantinos mavropanos,9,DF,45,46.59426985099986
180,boubacar kamara,4,MF,50,46.15827502243725
181,nick pope,7,GK,50,33.729200113911666
182,santiago bueno,14,DF,45,25.479574603268535
183,tawanda chirewa,14,MF,45,22.654452685967804
184,lewis cook,12,MF,50,60.009542884883466
185,ben doak,3,MF,45,14.246224327602725
186,jaidon anthony,12,MF,45,24.026614646517825
187,david raya martin,2,GK,55,91.84569157120255
188,luke shaw,8,DF,50,37.55842340645463
189,james tarkowski,15,DF,50,88.32242990822088
190,ben mee,16,DF,45,31.037326923906562
191,ben davies,5,DF,45,41.15972010975477
192,pedro lomba neto,6,MF,65,47.83379403191558
193,pervis estupinan,11,DF,50,51.20251621827286
194,oliver skipp,5,MF,50,30.987593932225316
195,gabriel fernando de jesus,2,FW,70,81.1975881909841
196,norberto murara neto,12,GK,45,46.894718212149684
197,ezri konsa ngoyo,4,DF,45,84.48951969751162
198,lloyd kelly,7,DF,45,41.98501243580357
199,aaron hickey,16,DF,45,34.90209587324579
200,micky van de ven,5,DF,45,65.26265456632831
201,john mcginn,4,MF,55,86.63375281674364
202,arijanet muric,20,GK,45,48.20309999613432
203,ibrahim sangare,17,MF,45,42.05438372722136
204,emile smith rowe,13,MF,55,47.236184516441554
205,đorđe petrovic,6,GK,45,46.52182532805976
206,kobbie mainoo,8,MF,55,60.204032395974934
207,cesare casadei,6,MF,45,22.122836950998515
208,stefan bajcetic maquieira,3,MF,45,14.246224327602725
209,yves bissouma,5,MF,50,49.98439111089148
210,moises caicedo corozo,6,MF,50,69.33292277444605
211,bukayo saka,2,MF,100,172.56690628095853
212,boubacar traore,14,MF,50,26.80146795415815
213,dejan kulusevski,5,MF,65,102.52668403275742
214,amad diallo,8,MF,50,36.02328845790592
215,luis sinisterra,12,MF,50,31.843385664250942
216,raul jimenez,13,FW,55,40.52410448213769
217,ian maatsen,4,DF,50,34.17641646477785
218,tyler adams,12,MF,50,19.28322712421564
219,cameron archer,4,FW,50,21.839107599622547
220,joao pedro junqueira de jesus,11,FW,55,115.31053794058997
221,rico lewis,1,DF,45,58.16589552197921
222,mikkel damsgaard,16,MF,50,48.60404062362349
223,michael keane,15,DF,40,26.286276023226684
224,joachim andersen,10,DF,45,91.00870954650163
225,rasmus højlund,8,FW,70,106.36383020128963
226,miguel almiron rejala,7,MF,60,57.18019358808728
227,james ward-prowse,9,MF,65,97.7241888465424
228,mohamed salah,3,MF,125,201.46464674011773
229,jean-philippe mateta,10,FW,75,101.60304857461568
230,jakub kiwior,2,DF,50,51.58643105482691
231,harvey elliott,3,MF,55,87.7167714009866
232,myles peart-harris,16,MF,45,24.636437963045772
233,sergio reguilon,5,DF,45,31.45684825674439
234,robert sanchez,6,GK,45,35.20194693622405
235,matty cash,4,DF,45,65.06758088666994
236,adam webster,11,DF,45,39.01742460472553
237,harrison reed,13,MF,50,39.73703395801556
238,michail antonio,9,FW,55,37.38807390507901
239,wes foderingham,9,GK,45,49.45472762775462
240,adam lallana,20,MF,50,38.51417764828663
241,jeffrey schlupp,10,MF,50,44.63497617866354
242,conor gallagher,6,MF,60,109.06990809113954
243,emil krafth,7,DF,45,34.330716599565385
244,destiny udogie,5,DF,50,63.381730416922686
245,alexis mac allister,3,MF,65,84.60565690839356
246,luke thomas,20,DF,40,43.356569344206314
247,matt turner,17,GK,40,24.928830180688735
248,mohammed kudus,9,MF,65,68.71040495177697
249,trent alexander-arnold,3,DF,70,111.99430172751842
250,alex scott,12,MF,50,41.32175872022209
251,ryan christie,12,MF,50,80.19039827652938
252,sam johnstone,10,GK,45,38.682317520181236
253,nathaniel clyne,10,DF,45,30.04177457939104
254,dominik szoboszlai,3,MF,65,93.25851815236683
255,issa diop,13,DF,45,38.43375021013271
256,facundo pellistri rebollo,8,MF,50,32.847198592630214
257,axel disasi,6,DF,45,57.1244104283742
258,odsonne edouard,10,FW,55,59.70895588765347
259,alejo veliz,5,FW,50,37.72250714172955
260,callum hudson-odoi,17,MF,55,92.58338222081282
261,tino livramento,7,DF,45,40.14337242210416
262,sven botman,7,DF,45,47.96532724828927
263,nathan ake,1,DF,55,76.24969389329918
264,chris mepham,12,DF,45,31.91767768855053
265,mykhailo mudryk,6,MF,65,81.9620764016623
266,willy boly,17,DF,45,31.987518679585197
267,antonee robinson,13,DF,45,94.80424218818257
268,reiss nelson,2,MF,50,28.79212444741509
269,kai havertz,2,FW,80,142.8934093450261
270,emiliano martinez romero,4,GK,50,88.79711686644127
271,andrew omobamidele,17,DF,45,27.137839246474503
272,ross barkley,4,MF,55,52.8516500709451
273,julio enciso,11,MF,55,45.43967912499974
274,kenny tete,13,DF,45,41.004838331335655
275,jack grealish,1,MF,65,76.99710307658859
276,mason holgate,15,DF,40,29.76516953881724
277,frank onyeka,16,MF,50,43.86486699297007
278,phil foden,1,MF,95,214.73394457579144
279,kevin de bruyne,1,MF,95,103.64625340438924
280,neal maupay,15,FW,50,48.92529609556039
281,max kilman,9,DF,45,75.48678036470538
282,joelinton cassio apolinario de lira,7,MF,60,55.22842958818788
283,harry maguire,8,DF,50,42.325931646136695
284,ben brereton diaz,20,MF,55,46.6074464224618
285,jeremy doku,1,MF,65,91.08950099818526
286,simon adingra,11,MF,55,81.92216249280727
287,edson alvarez velazquez,9,MF,50,55.571147343834255
288,ben chilwell,6,DF,50,45.68655909521918
289,nathan patterson,15,DF,45,35.33355417128854
290,murillo santiago costa dos santos,17,DF,45,58.5460349306692
291,john stones,1,DF,55,55.05802103358898
292,benoit badiashile,6,DF,45,38.13599092535543
293,james hill,12,DF,40,20.753189690055358
