NAME,WEB_NAME,TEAM,RK,POSITION,COST,AGE,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS
andrew robertson,Robertson,Liverpool,3,DF,60,29,23,18,1693,3,2,0,0,2,0,1.9,5.4,0,22,3,0,76
robin olsen,Olsen,Aston Villa,4,GK,45,33,5,4,405,0,0,0,0,0,0,0.0,0.0,0,13,0,21,17
solly march,March,Brighton,11,MF,65,29,7,7,554,3,1,0,0,1,0,2.0,1.0,0,11,2,0,39
antony matheus dos santos,Antony,Man Utd,8,MF,60,23,29,15,1324,1,1,0,0,5,0,3.4,2.8,0,26,3,0,47
jordan pickford,Pickford,Everton,15,GK,50,29,38,38,3420,0,0,0,0,5,0,0.0,0.1,1,51,13,121,153
jaden philogene,Jaden,Aston Villa,4,MF,55,21,1,0,4,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1
danilo dos santos de oliveira,Danilo,Nott'm Forest,17,MF,50,22,29,20,1792,2,2,0,0,4,0,1.8,1.5,0,42,1,0,65
matt doherty,Doherty,Wolves,14,DF,45,31,30,9,1150,1,0,0,0,2,0,0.8,1.3,0,21,1,0,41
calvin bassey,Bassey,Fulham,13,DF,45,23,29,25,2303,1,0,0,0,6,1,0.3,0.0,0,42,6,0,66
james mcatee,McAtee,Man City,1,MF,50,20,1,0,1,0,0,0,0,0,0,0.0,0.0,0,65,2,0,77
alexander isak,Isak,Newcastle,7,FW,85,23,30,27,2255,21,2,5,1,1,0,20.3,3.7,0,41,7,0,172
cole palmer,Palmer,Chelsea,6,MF,105,21,1,0,11,0,0,0,0,0,0,0.0,0.0,0,46,7,0,244
james maddison,Maddison,Spurs,5,MF,75,26,28,26,2135,4,9,0,0,5,0,6.4,5.9,0,31,7,0,117
kyle walker-peters,Walker-Peters,Southampton,20,DF,45,33,32,30,2767,0,4,0,0,2,0,0.4,2.6,0,29,10,0,123
jhon duran,Duran,Aston Villa,4,FW,60,19,23,3,475,5,0,0,0,5,0,2.0,0.3,0,12,0,0,50
kyle walker,Walker,Man City,1,DF,55,33,32,30,2767,0,4,0,0,2,0,0.4,2.6,0,29,10,0,123
omari kellyman,Kellyman,Chelsea,6,MF,45,17,2,0,37,0,0,0,0,0,0,0.1,0.0,0,1,0,0,2
alisson ramses becker,A.Becker,Liverpool,3,GK,55,30,28,28,2520,0,0,0,0,1,0,0.0,0.0,0,30,8,83,107
william osula,Osula,Newcastle,7,FW,50,19,21,9,786,0,0,0,0,4,0,1.6,0.1,0,23,0,0,25
kalvin phillips,Phillips,Man City,1,MF,50,27,4,0,93,0,0,0,0,0,0,0.1,0.0,0,13,0,0,10
dominic solanke-mitchell,Solanke,Spurs,5,FW,75,25,38,37,3325,19,3,2,1,3,0,19.6,3.0,0,61,10,0,175
aaron cresswell,Cresswell,West Ham,9,DF,40,33,11,4,436,0,0,0,0,1,0,0.0,0.4,0,11,0,0,10
chris richards,C.Richards,Crystal Palace,10,DF,45,23,26,23,2094,1,1,0,0,3,0,0.6,0.4,0,38,4,0,62
virgil van dijk,Virgil,Liverpool,3,DF,60,32,36,36,3177,2,2,0,0,3,1,2.8,1.6,0,40,9,0,117
igor thiago nascimento rodrigues,Thiago,Brentford,16,FW,60,25,24,17,1637,0,0,0,0,4,0,0.3,0.7,0,0,0,0,0
igor julio dos santos de paulo,Igor,Brighton,11,DF,45,25,24,17,1637,0,0,0,0,4,0,0.3,0.7,0,26,2,0,37
ivan toney,Toney,Brentford,16,FW,75,27,17,16,1450,4,2,0,0,5,0,6.0,1.5,0,30,3,0,57
cody gakpo,Gakpo,Liverpool,3,FW,75,24,35,17,1649,8,5,0,0,1,0,9.0,2.9,0,20,5,0,106
jason steele,Steele,Brighton,11,GK,45,32,17,17,1530,0,0,0,0,0,0,0.0,0.0,0,34,2,43,42
aaron ramsdale,Ramsdale,Arsenal,2,GK,45,25,6,6,540,0,0,0,0,0,0,0.0,0.0,0,5,2,9,20
keane lewis-potter,Lewis-Potter,Brentford,16,MF,50,22,30,15,1441,3,1,0,0,0,0,6.3,1.7,0,29,6,0,73
declan rice,Rice,Arsenal,2,MF,65,24,38,37,3225,7,8,0,0,5,0,3.3,5.3,0,28,17,0,165
lewis dunk,Dunk,Brighton,11,DF,45,31,33,33,2869,3,1,0,0,7,1,3.1,0.9,0,53,5,0,89
carney chukwuemeka,Chukwuemeka,Chelsea,6,MF,50,19,9,2,227,1,1,0,0,2,0,0.2,0.3,0,5,0,0,16
jordan ayew,J.Ayew,Crystal Palace,10,MF,55,31,35,30,2543,4,7,0,0,9,1,3.9,4.2,0,39,11,0,109
aaron wan-bissaka,Wan-Bissaka,West Ham,9,DF,45,25,22,20,1780,0,2,0,0,4,0,0.1,1.5,0,34,3,0,47
jarrod bowen,Bowen,West Ham,9,MF,75,26,34,34,3019,16,6,0,0,2,0,11.6,5.5,0,63,5,0,182
mario lemina,Mario Jr.,Wolves,14,MF,50,29,35,34,2968,4,1,0,0,12,1,4.6,1.5,0,55,4,0,95
jefferson lerma solis,Lerma,Crystal Palace,10,MF,50,28,28,27,2400,1,1,0,0,8,0,2.7,2.2,0,46,5,0,64
cheick doucoure,C.Doucouré,Crystal Palace,10,MF,50,23,11,11,919,0,0,0,0,2,0,0.3,0.7,0,12,3,0,21
dan burn,Burn,Newcastle,7,DF,45,31,33,32,2726,2,2,0,0,4,0,3.1,1.1,0,45,8,0,97
adam smith,Smith,Bournemouth,12,DF,45,32,28,25,2150,0,2,0,0,6,0,0.1,1.3,0,33,8,0,80
manor solomon,Solomon,Spurs,5,MF,55,24,5,2,199,0,2,0,0,1,0,0.4,0.8,0,2,0,0,14
justin kluivert,Kluivert,Bournemouth,12,MF,55,24,32,26,1916,7,1,0,0,5,0,6.2,1.9,0,23,11,0,100
marcus tavernier,Tavernier,Bournemouth,12,MF,55,24,30,25,2118,3,4,0,0,3,0,3.9,5.2,0,38,8,0,89
youri tielemans,Tielemans,Aston Villa,4,MF,55,26,32,17,1622,2,6,0,0,3,0,1.3,2.6,0,27,4,0,77
dominic calvert-lewin,Calvert-Lewin,Everton,15,FW,60,26,32,26,2171,7,2,2,0,2,0,12.9,3.1,0,27,13,0,101
tariq lamptey,Lamptey,Brighton,11,DF,45,22,19,10,914,0,3,0,0,3,0,0.4,1.2,0,20,1,0,31
nathan collins,Collins,Brentford,16,DF,45,22,32,29,2652,1,1,0,0,3,0,1.7,2.2,0,51,7,0,84
richarlison de andrade,Richarlison,Spurs,5,FW,70,26,28,18,1491,11,4,0,0,3,0,9.6,2.1,0,18,7,0,122
kieran trippier,Trippier,Newcastle,7,DF,60,32,28,26,2236,1,10,0,0,5,0,0.7,7.5,0,43,6,0,111
matheus franca de oliveira,M.França,Crystal Palace,10,MF,45,19,10,1,232,0,1,0,0,1,0,0.4,0.9,0,7,0,0,16
nicolas jackson,N.Jackson,Chelsea,6,FW,75,22,35,31,2799,14,5,0,0,10,0,18.6,4.3,0,48,9,0,142
hugo bueno lopez,H.Bueno,Wolves,14,DF,45,20,22,7,741,0,0,0,0,1,0,0.3,0.8,1,16,2,0,29
mason mount,Mount,Man Utd,8,MF,65,24,14,5,516,1,0,0,0,2,0,0.4,0.3,0,13,1,0,23
manuel akanji,Akanji,Man City,1,DF,55,28,30,28,2511,2,0,0,0,4,1,1.9,0.5,0,23,11,0,112
rayan ait-nouri,Aït-Nouri,Wolves,14,DF,45,22,33,29,2329,2,1,0,0,7,0,3.3,2.4,0,43,3,0,77
alphonse areola,Areola,West Ham,9,GK,45,30,31,31,2699,0,0,0,0,1,0,0.0,0.0,1,53,4,138,116
dean henderson,Henderson,Crystal Palace,10,GK,45,26,18,18,1620,0,0,0,0,2,0,0.0,0.0,2,30,4,58,48
matt targett,Targett,Newcastle,7,DF,40,27,3,1,78,0,0,0,0,1,0,0.0,0.0,0,4,0,0,2
reece james,James,Chelsea,6,DF,50,23,10,5,419,0,2,0,0,2,2,0.3,1.7,0,13,0,0,11
bruno guimaraes rodriguez moura,Bruno G.,Newcastle,7,MF,65,25,34,34,2931,7,8,0,0,8,0,4.1,3.9,0,0,0,0,0
lewis dobbin,Dobbin,Aston Villa,4,MF,50,20,12,1,232,1,0,0,0,1,0,0.3,0.5,0,3,1,0,18
rodrigo 'rodri' hernandez,Rodrigo,Man City,1,MF,65,27,34,34,2931,8,9,0,0,8,1,4.1,3.9,0,0,0,0,0
eddie nketiah,Nketiah,Arsenal,2,FW,60,24,27,10,1082,5,2,0,0,3,0,4.5,0.8,0,10,6,0,71
rodrigo martins gomes,R.Gomes,Wolves,14,MF,55,27,34,34,2931,8,9,0,0,8,1,4.1,3.9,0,0,0,0,0
bobby clark,Clark,Liverpool,3,MF,45,18,5,1,89,0,0,0,0,0,0,0.1,0.0,0,0,0,0,5
guido rodriguez,G.Rodríguez,West Ham,9,MF,50,27,34,34,2931,8,9,0,0,8,1,4.1,3.9,0,0,0,0,0
rodrigo muniz carvalho,Muniz,Fulham,13,FW,60,22,26,18,1593,8,1,0,0,1,0,4.1,2.0,0,0,0,0,0
rodrigo bentancur,Bentancur,Spurs,5,MF,50,26,23,13,1005,1,1,0,0,7,0,1.9,0.5,0,0,0,0,0
danny welbeck,Welbeck,Brighton,11,FW,55,32,29,21,1693,5,1,0,0,4,0,5.3,1.7,0,28,8,0,79
ben johnson,Johnson,Ipswich,20,DF,40,23,14,4,544,0,0,0,0,1,0,0.2,0.0,0,16,1,0,17
jorge luiz frello filho,Jorginho,Arsenal,2,MF,50,31,24,10,921,0,2,0,0,1,0,0.1,1.4,0,11,4,0,44
conor bradley,Bradley,Liverpool,3,DF,50,20,11,10,753,1,3,0,0,2,0,0.9,1.5,1,7,3,0,50
taiwo awoniyi,Awoniyi,Nott'm Forest,17,FW,60,25,20,12,1042,6,3,0,0,2,0,4.7,1.7,0,21,3,0,67
ollie watkins,Watkins,Aston Villa,4,FW,90,27,37,37,3217,19,13,0,0,4,0,16.8,7.3,0,56,7,0,228
bart verbruggen,Verbruggen,Brighton,11,GK,45,20,21,21,1890,0,0,0,0,3,0,0.0,0.0,0,28,4,65,68
diogo dalot teixeira,Dalot,Man Utd,8,DF,50,24,36,35,3174,2,3,0,0,6,1,1.7,2.9,0,55,8,0,111
jurrien timber,J.Timber,Arsenal,2,DF,55,22,2,1,71,0,0,0,0,2,0,0.0,0.0,0,0,0,0,0
ryan gravenberch,Gravenberch,Liverpool,3,MF,50,21,26,12,1121,1,0,0,0,0,0,2.0,0.9,0,17,3,0,45
diego carlos santos silva,Diego Carlos,Aston Villa,4,DF,45,30,27,20,1816,0,0,0,0,4,0,1.9,0.1,0,36,6,0,55
david ozoh,Ozoh,Crystal Palace,10,MF,45,18,9,0,156,0,0,0,0,1,0,0.0,0.0,0,5,0,0,8
lisandro martinez,Martinez,Man Utd,8,DF,45,25,11,8,646,0,1,0,0,3,0,0.0,0.1,1,12,1,0,15
luke harris,Harris,Fulham,13,MF,45,18,1,0,75,0,0,0,0,0,0,0.3,0.0,0,5,0,0,2
will hughes,Hughes,Crystal Palace,10,MF,50,28,30,23,1891,0,1,0,0,6,0,0.3,1.1,0,38,8,0,61
alfie gilchrist,Gilchrist,Chelsea,6,DF,40,19,11,2,207,1,0,0,0,1,0,0.3,0.0,0,6,1,0,20
diogo teixeira da silva,Diogo J.,Liverpool,3,MF,75,26,21,14,1145,10,3,0,0,3,1,5.3,3.3,0,11,5,0,110
andre onana,Onana,Man Utd,8,GK,50,27,38,38,3420,0,0,0,0,5,0,0.0,0.1,0,58,9,149,133
martin dubravka,Dúbravka,Newcastle,7,GK,45,34,23,22,1985,0,0,0,0,1,0,0.0,0.1,0,42,4,88,75
facundo buonanotte,Buonanotte,Leicester,20,MF,50,18,27,17,1364,3,1,0,0,7,0,2.4,1.8,0,19,6,0,57
bruno borges fernandes,B.Fernandes,Man Utd,8,MF,85,28,35,35,3118,10,8,4,1,9,0,10.0,11.8,0,52,7,0,166
joel ward,Ward,Crystal Palace,10,DF,45,33,26,23,1980,0,1,0,0,4,0,0.9,0.2,1,34,5,0,54
emerson leite de souza junior,E.Royal,Spurs,5,DF,45,24,22,11,1161,1,0,0,0,4,0,0.2,0.4,0,31,0,0,27
adama traore,Adama,Fulham,13,MF,50,20,8,1,377,0,0,0,0,0,0,0.3,0.5,0,13,0,0,36
nicolas dominguez,Dominguez,Nott'm Forest,17,MF,50,25,26,19,1495,2,2,0,0,4,0,1.3,1.0,0,27,6,0,67
william saliba,Saliba,Arsenal,2,DF,60,22,38,38,3420,2,1,0,0,4,0,1.6,0.2,0,29,18,0,164
jan paul van hecke,Van Hecke,Brighton,11,DF,45,23,28,26,2369,0,0,0,0,4,0,1.2,0.9,0,38,5,0,61
bryan gil salvatierra,Bryan,Spurs,5,MF,50,22,11,2,209,0,0,0,0,0,0,0.8,0.2,0,11,0,0,12
emerson palmieri dos santos,Emerson,West Ham,9,DF,45,24,22,11,1161,1,0,0,0,4,0,0.2,0.4,0,31,0,0,27
enzo fernandez,Enzo,Chelsea,6,MF,50,22,28,26,2209,3,2,1,1,7,0,6.2,3.4,0,47,5,0,77
antoine semenyo,Semenyo,Bournemouth,12,MF,55,23,33,25,2105,8,2,0,0,6,0,4.6,3.2,0,33,8,0,107
elliot anderson,Anderson,Nott'm Forest,17,MF,50,20,21,10,1027,0,2,0,0,3,0,1.5,1.9,0,14,5,0,42
pascal groß,Gross,Brighton,11,MF,65,32,36,34,3114,4,10,1,0,6,0,6.5,8.1,0,50,7,0,153
maxwel cornet,Cornet,West Ham,9,MF,50,26,7,1,112,1,0,0,0,0,0,0.4,0.2,0,3,0,0,13
mark travers,Travers,Bournemouth,12,GK,45,24,4,4,360,0,0,0,0,0,0,0.0,0.0,0,5,2,13,19
romain faivre,Faivre,Bournemouth,12,MF,50,25,5,0,41,0,0,0,0,1,0,0.2,0.0,0,1,0,0,4
levi colwill,Colwill,Chelsea,6,DF,45,20,23,20,1797,1,1,0,0,2,0,1.3,1.2,0,26,5,0,65
morgan gibbs-white,Gibbs-White,Nott'm Forest,17,MF,65,23,37,35,3156,5,10,1,0,9,0,6.9,8.4,0,59,5,0,142
lewis miley,Miley,Newcastle,7,MF,50,17,17,14,1202,1,3,0,0,1,0,1.2,1.7,0,29,1,0,44
james garner,Garner,Everton,15,MF,50,22,37,34,3004,1,2,0,0,7,0,2.7,4.6,0,47,11,0,87
mads roerslev rasmussen,Roerslev,Brentford,16,DF,45,24,34,22,1985,1,2,0,0,1,0,0.9,1.8,0,40,5,0,75
lucas digne,Digne,Aston Villa,4,DF,45,30,33,27,2410,1,3,0,0,7,0,1.1,4.1,0,41,6,0,85
abdoulaye doucoure,A.Doucoure,Everton,15,MF,55,30,32,32,2629,7,1,0,0,7,0,8.8,2.9,0,36,12,0,116
sasa lukic,Lukić,Fulham,13,MF,50,26,24,13,1122,1,0,0,0,3,0,1.6,0.8,0,20,5,0,43
sasa kalajdzic,Kalajdžić,Wolves,14,FW,50,26,11,1,166,2,0,0,0,0,0,1.1,1.0,0,2,1,0,24
darwin nunez ribeiro,Darwin,Liverpool,3,FW,75,24,36,22,2047,11,8,0,1,9,0,16.3,6.0,0,25,6,0,132
max aarons,Aarons,Bournemouth,12,DF,45,23,20,13,1237,0,1,0,0,1,0,0.0,0.8,0,35,2,0,28
vladimir coufal,Coufal,West Ham,9,DF,45,30,36,36,3132,0,7,0,0,7,1,0.3,4.0,0,70,4,0,85
joe gomez,Gomez,Liverpool,3,DF,50,26,32,17,1786,0,1,0,0,5,0,0.8,1.3,0,19,7,0,76
dango ouattara,O.Dango,Bournemouth,12,MF,50,21,30,12,1229,1,2,0,0,3,0,2.6,1.5,0,24,5,0,56
ethan nwaneri,Nwaneri,Arsenal,2,MF,45,16,1,0,14,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
curtis jones,Jones,Liverpool,3,MF,55,22,23,14,1167,1,1,0,0,3,1,2.6,0.7,0,19,2,0,40
bernardo veiga de carvalho e silva,Bernardo,Man City,1,MF,65,28,33,29,2578,6,9,0,0,8,0,3.7,7.6,0,26,10,0,141
kaine kesler-hayden,Kesler-Hayden,Aston Villa,4,DF,40,20,3,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3
lewis hall,Hall,Newcastle,7,DF,45,18,18,8,781,1,0,0,0,2,0,0.3,0.3,0,12,2,0,38
raheem sterling,Sterling,Chelsea,6,MF,70,28,31,22,1978,8,4,0,0,7,0,6.5,4.5,0,38,5,0,123
leander dendoncker,Dendoncker,Aston Villa,4,MF,45,28,8,1,119,1,0,0,0,0,0,0.7,0.0,0,3,0,0,20
harvey barnes,Barnes,Newcastle,7,MF,65,25,21,7,802,5,3,0,0,2,0,3.6,3.2,0,10,2,0,64
eberechi eze,Eze,Crystal Palace,10,MF,70,25,27,24,2055,11,4,1,0,3,0,9.1,5.2,0,28,8,0,136
jarell quansah,Quansah,Liverpool,3,DF,45,20,17,13,1190,2,0,0,0,1,0,1.0,0.1,0,15,2,0,49
malo gusto,Gusto,Chelsea,6,DF,50,20,27,19,1751,0,6,0,0,7,1,0.9,4.3,0,28,5,0,74
jarrad branthwaite,Branthwaite,Everton,15,DF,50,21,35,35,3116,3,0,0,0,8,0,1.7,1.0,0,44,12,0,124
mathias jensen,Jensen,Brentford,16,MF,55,27,32,27,2204,3,3,0,0,5,0,0.7,4.0,0,45,9,0,98
naouirou ahamada,Ahamada,Crystal Palace,10,MF,45,21,20,0,349,0,0,0,0,4,1,0.5,0.0,0,14,0,0,16
konstantinos mavropanos,Mavropanos,West Ham,9,DF,45,25,19,16,1500,1,0,0,0,2,0,1.2,0.2,2,27,3,0,40
boubacar kamara,Kamara,Aston Villa,4,MF,50,23,20,20,1652,0,1,0,0,7,1,0.1,1.3,0,22,7,0,40
nick pope,Pope,Newcastle,7,GK,50,31,15,15,1345,0,0,0,0,1,0,0.0,0.0,0,16,6,43,57
santiago bueno,S.Bueno,Wolves,14,DF,45,24,12,9,822,0,0,0,0,1,0,0.0,0.1,0,18,0,0,13
tawanda chirewa,Chirewa,Wolves,14,MF,45,19,8,1,145,0,0,0,0,1,0,0.2,0.0,0,2,0,0,8
lewis cook,Cook,Bournemouth,12,MF,50,26,33,32,2786,0,3,0,0,5,1,0.4,4.3,0,51,8,0,77
ben doak,Doak,Liverpool,3,MF,45,17,1,0,14,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
jaidon anthony,Anthony,Bournemouth,12,MF,45,23,3,2,152,0,0,0,0,1,0,0.1,0.0,0,5,0,0,3
david raya martin,Raya,Arsenal,2,GK,55,27,32,32,2880,0,0,0,0,2,0,0.0,0.0,0,24,16,46,135
luke shaw,Shaw,Man Utd,8,DF,50,28,12,12,959,0,0,0,0,6,0,0.0,1.0,0,13,4,0,31
james tarkowski,Tarkowski,Everton,15,DF,50,30,38,38,3419,1,1,0,0,11,0,2.6,2.5,0,51,13,0,117
ben mee,Mee,Brentford,16,DF,45,33,16,15,1272,2,0,0,0,1,1,1.5,0.3,0,28,1,0,39
ben davies,Davies,Spurs,5,DF,45,30,17,12,1090,1,0,0,0,2,0,2.3,0.4,0,21,1,0,34
pedro lomba neto,Neto,Chelsea,6,MF,65,34,32,32,2880,0,0,0,0,5,0,0.0,0.0,0,27,3,0,86
pervis estupinan,Estupiñan,Brighton,11,DF,50,25,19,15,1243,2,3,0,0,4,0,1.0,3.5,1,26,3,0,57
oliver skipp,Skipp,Spurs,5,MF,50,22,21,5,707,0,0,0,0,3,0,0.7,0.6,0,17,0,0,22
gabriel fernando de jesus,G.Jesus,Arsenal,2,FW,70,26,27,17,1478,4,5,0,0,6,0,6.3,3.8,0,11,11,0,85
norberto murara neto,Neto,Bournemouth,12,GK,45,34,32,32,2880,0,0,0,0,5,0,0.0,0.0,0,27,3,0,86
ezri konsa ngoyo,Konsa,Aston Villa,4,DF,45,25,35,35,3069,1,0,0,0,5,0,2.5,0.5,0,54,7,0,91
lloyd kelly,Kelly,Newcastle,7,DF,45,24,23,17,1559,0,1,0,0,2,0,0.3,1.2,0,32,4,0,48
aaron hickey,Hickey,Brentford,16,DF,45,21,9,9,713,0,0,0,0,5,0,0.2,0.1,0,12,2,0,17
micky van de ven,Van de Ven,Spurs,5,DF,45,22,27,27,2339,3,0,0,0,5,0,0.6,0.0,0,38,5,0,81
john mcginn,McGinn,Aston Villa,4,MF,55,28,35,35,2999,6,4,0,0,9,1,5.0,4.6,0,54,7,0,119
arijanet muric,Muric,Ipswich,20,GK,45,24,10,10,900,0,0,0,0,0,0,0.0,0.2,1,16,0,64,47
ibrahim sangare,Sangaré,Nott'm Forest,17,MF,45,25,17,13,1035,0,0,0,0,6,0,0.6,0.4,0,16,4,0,25
emile smith rowe,Smith Rowe,Fulham,13,MF,55,23,13,3,353,0,1,0,0,0,0,2.0,0.2,0,3,3,0,25
đorđe petrovic,Petrović,Chelsea,6,GK,45,23,23,22,1987,0,0,0,0,2,0,0.0,0.0,0,38,5,75,71
kobbie mainoo,Mainoo,Man Utd,8,MF,55,18,24,24,1924,3,1,0,0,3,0,0.9,0.7,0,31,7,0,77
cesare casadei,Casadei,Chelsea,6,MF,45,20,11,0,79,0,0,0,0,0,0,0.0,0.1,0,3,0,0,11
