,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,shkodran mustafi,4,17,0,0,51,43
1,hector bellerin,4,18,0,0,52,44
2,sead kolasinac,4,26,0,0,52,55
3,ainsley maitland-niles,3,22,0,0,45,41
4,sokratis papastathopoulos,4,25,0,0,48,57
5,nacho monreal,1,4,0,0,50,10
6,laurent koscielny,0,0,0,0,50,0
7,konstantinos mavropanos,0,0,0,0,43,0
8,carl jenkinson,0,0,0,0,45,0
9,rob holding,1,9,0,0,44,16
10,pierre-emerick aubameyang,10,44,0,0,109,205
11,alexandre lacazette,5,25,0,0,92,118
12,edward nketiah,3,9,0,0,43,25
13,bernd leno,7,39,0,113,48,114
14,mesut ozil,5,20,0,0,69,53
15,henrikh mkhitaryan,1,0,0,0,67,4
16,alex iwobi,4,30,0,0,56,52
17,granit xhaka,10,31,0,0,51,73
18,lucas torreira,3,23,0,0,47,46
19,mohamed elneny,0,0,0,0,42,0
20,matteo guendouzi,3,31,0,0,41,48
21,ahmed el mohamady,2,28,0,0,41,39
22,james chester,0,0,0,0,42,0
23,neil taylor,2,25,0,0,42,22
24,kortney hause,2,34,0,0,44,34
25,jonathan kodjia,0,6,0,0,54,5
26,ørjan nyland,1,12,0,15,43,15
27,conor hourihane,6,29,0,0,57,83
28,jack grealish,7,63,0,0,59,149
29,anwar el ghazi,5,48,0,0,52,93
30,john mcginn,6,41,0,0,52,84
31,andre green,0,0,0,0,48,0
32,birkir bjarnason,0,0,0,0,45,0
33,keinan davis,1,7,0,0,42,25
34,henri lansbury,0,6,0,0,44,12
35,jose ignacio peleteiro romallo,2,5,0,0,57,17
36,steve cook,3,48,0,0,50,52
37,nathan ake,4,46,0,0,48,79
38,charlie daniels,0,2,0,0,42,3
39,chris mepham,1,19,0,0,43,27
40,simon francis,1,21,0,0,43,16
41,adam smith,4,40,0,0,43,49
42,lloyd kelly,1,15,0,0,44,11
43,diego rico,6,38,0,0,42,84
44,jack simpson,0,6,0,0,39,4
45,callum wilson,4,53,0,0,74,116
46,joshua king,4,37,0,0,61,99
47,dominic solanke,1,39,0,0,51,69
48,lys mousset,3,15,0,0,43,84
49,sam surridge,0,2,0,0,43,4
50,asmir begovic,0,0,0,0,42,0
51,artur boruc,0,0,0,0,42,0
52,mark travers,0,3,0,2,42,1
53,ryan fraser,4,34,0,0,68,73
54,david brooks,1,12,0,0,61,21
55,junior stanislas,1,17,0,0,58,42
56,jordon ibe,0,1,0,0,46,2
57,lewis cook,2,30,0,0,50,40
58,andrew surman,0,6,0,0,47,6
59,dan gosling,2,23,0,0,48,54
60,jefferson lerma,4,49,0,0,48,65
61,shane duffy,3,18,0,0,48,44
62,martin montoya,6,32,0,0,43,62
63,bernardo fernandes da silva junior,1,17,0,0,43,21
64,leon balogun,0,0,0,0,43,0
65,gaetan bong,0,3,0,0,42,3
66,lewis dunk,9,50,0,0,48,128
67,matthew clarke,0,0,0,0,43,0
68,glenn murray,2,10,0,0,54,36
69,jurgen locadia,1,1,0,0,52,3
70,florin andone,0,2,0,0,47,5
71,mathew ryan,9,54,0,117,47,135
72,david button,0,0,0,0,39,0
73,pascal groß,3,32,1,0,62,76
74,alireza jahanbakhsh,1,4,0,0,58,28
75,jose heriberto izquierdo mena,0,0,0,0,54,0
76,anthony knockaert,0,0,0,0,53,0
77,yves bissouma,4,18,0,0,50,39
78,davy propper,6,46,1,0,48,78
79,solomon march,4,15,0,0,46,38
80,beram kayal,0,0,0,0,42,0
81,dale stephens,6,42,0,0,44,63
82,leandro trossard,4,34,0,0,58,104
83,ben mee,13,45,0,0,49,110
84,james tarkowski,15,50,0,0,55,143
85,matthew lowton,6,31,0,0,42,48
86,phil bardsley,9,19,0,0,44,78
87,charlie taylor,10,18,0,0,43,84
88,kevin long,2,5,0,0,43,21
89,ben gibson,0,0,0,0,39,0
90,ashley barnes,8,21,0,0,61,61
91,chris wood,11,33,1,0,62,136
92,matej vydra,5,7,0,0,51,39
93,nick pope,15,50,0,120,52,170
94,tom heaton,4,35,1,67,43,59
95,joe hart,0,0,0,0,42,0
96,johann berg gudmundsson,3,7,0,0,59,30
97,dwight mcneil,16,48,0,0,60,123
98,robbie brady,1,10,0,0,55,32
99,steven defour,0,0,0,0,55,0
100,jeff hendrick,10,30,0,0,54,67
101,ashley westwood,15,39,0,0,55,118
102,jack cork,12,41,0,0,49,70
103,marcos alonso,7,18,0,0,61,100
104,antonio rudiger,5,24,1,0,59,63
105,cesar azpilicueta,8,53,0,0,61,130
106,david luiz moreira marinho,8,42,0,0,57,94
107,emerson palmieri dos santos,1,21,0,0,54,19
108,andreas christensen,3,33,0,0,48,34
109,davide zappacosta,0,0,0,0,42,0
110,olivier giroud,6,16,0,0,67,68
111,kepa arrizabalaga,8,47,0,55,54,90
112,willy caballero,1,7,0,10,48,13
113,willian borges da silva,10,35,0,0,73,168
114,pedro rodriguez ledesma,2,12,0,0,68,32
115,ruben loftus-cheek,1,3,0,0,59,12
116,callum hudson-odoi,2,14,0,0,51,53
117,ross barkley,5,14,0,0,56,61
118,jorge luiz frello filho,6,40,0,0,49,92
119,n’golo kante,3,25,0,0,50,57
120,daniel drinkwater,0,11,0,0,44,6
121,ethan ampadu,0,0,0,0,43,0
122,aaron wan-bissaka,12,33,0,0,55,127
123,patrick van aanholt,8,38,1,0,56,109
124,james tomkins,3,23,0,0,49,48
125,mamadou sakho,0,21,0,0,50,11
126,joel ward,7,36,0,0,43,77
127,scott dann,5,14,0,0,43,51
128,martin kelly,6,16,0,0,41,64
129,christian benteke,5,18,0,0,57,42
130,connor wickham,0,2,0,0,43,15
131,vicente guaita,10,42,1,111,49,137
132,wayne hennessey,0,8,0,16,42,7
133,wilfried zaha,9,46,0,0,66,120
134,luka milivojevic,7,38,0,0,67,81
135,andros townsend,3,23,0,0,56,48
136,max meyer,1,11,0,0,52,23
137,jeffrey schlupp,4,16,0,0,54,51
138,james mcarthur,11,38,0,0,52,92
139,cheikhou kouyate,10,36,0,0,48,85
140,luke dreher,0,0,0,0,43,0
141,lucas digne,9,49,1,0,59,120
142,yerry mina,5,37,1,0,53,78
143,michael keane,7,42,1,0,52,90
144,seamus coleman,5,29,0,0,53,55
145,leighton baines,0,8,0,0,49,14
146,cenk tosun,2,6,0,0,57,24
147,dominic calvert-lewin,8,43,0,0,61,126
148,jordan pickford,9,56,0,94,52,117
149,maarten stekelenburg,0,0,0,0,39,0
150,richarlison de andrade,9,51,0,0,82,165
151,gylfi sigurdsson,6,45,0,0,73,95
152,bernard anicio caldeira duarte,9,12,0,0,64,72
153,theo walcott,4,19,0,0,62,63
154,tom davies,5,34,0,0,53,59
155,ademola lookman,0,0,0,0,50,0
156,idrissa gueye,0,0,0,0,50,0
157,james mccarthy,2,29,0,0,42,41
158,morgan schneiderlin,1,20,0,0,44,18
159,andre filipe tavares gomes,5,20,0,0,52,39
160,ricardo domingos barbosa pereira,10,27,0,0,62,123
161,harry maguire,13,36,0,0,53,123
162,benjamin chilwell,9,26,0,0,54,114
163,jonny evans,13,41,1,0,53,128
164,christian fuchs,2,10,0,0,42,26
165,caglar soyuncu,12,35,0,0,49,120
166,wes morgan,1,6,0,0,41,19
167,jamie vardy,11,38,0,0,97,210
168,kelechi iheanacho,3,9,0,0,57,64
169,kasper schmeichel,13,41,0,97,55,156
170,eldin jakupovic,0,0,0,0,42,0
171,danny ward,0,0,0,0,42,0
172,james maddison,10,26,0,0,73,125
173,harvey barnes,9,24,0,0,58,133
174,rachid ghezzal,0,0,0,0,51,0
175,marc albrighton,3,11,0,0,51,38
176,demarai gray,1,6,0,0,50,44
177,wilfred ndidi,12,32,0,0,50,85
178,matty james,0,0,0,0,43,1
179,daniel amartey,0,0,0,0,42,0
180,nampalys mendy,1,3,0,0,43,11
181,hamza choudhury,3,12,0,0,42,35
182,andrew robertson,13,31,0,0,70,181
183,trent alexander-arnold,14,32,0,0,77,210
184,virgil van dijk,15,33,0,0,65,178
185,joseph gomez,12,16,0,0,53,93
186,joel matip,3,5,0,0,52,39
187,dejan lovren,0,11,0,0,53,18
188,roberto firmino,16,26,0,0,93,155
189,divock origi,2,12,0,0,51,65
190,alisson ramses becker,13,24,0,58,62,122
191,simon mignolet,0,0,0,0,45,0
192,mohamed salah,16,26,0,0,125,233
193,sadio mane,12,28,0,0,121,221
194,alex oxlade-chamberlain,8,12,1,0,61,76
195,xherdan shaqiri,1,2,0,0,63,15
196,adam lallana,1,5,0,0,57,27
197,naby keita,5,8,0,0,58,52
198,fabio henrique tavares,6,26,0,0,54,77
199,jordan henderson,16,14,0,0,52,116
200,georginio wijnaldum,12,28,0,0,54,107
201,james milner,4,9,0,0,53,49
202,rafael camacho,0,0,0,0,45,0
203,aymeric laporte,8,5,0,0,63,63
204,kyle walker,12,24,0,0,57,114
205,benjamin mendy,9,13,0,0,55,74
206,fabian delph,2,24,0,0,53,24
207,oleksandr zinchenko,6,15,0,0,52,49
208,john stones,3,16,0,0,53,34
209,nicolas otamendi,7,21,0,0,48,82
210,danilo luiz da silva,0,0,0,0,50,0
211,sergio aguero,5,18,0,0,116,132
212,gabriel fernando de jesus,12,14,0,0,99,146
213,ederson santana de moraes,16,31,0,68,61,133
214,claudio bravo,1,7,0,8,47,11
215,raheem sterling,13,31,0,0,120,204
216,kevin de bruyne,18,22,0,0,106,251
217,leroy sane,0,0,0,0,91,1
218,riyad mahrez,10,15,0,0,86,175
219,bernardo mota veiga de carvalho e silva,9,24,0,0,76,116
220,david silva,11,15,0,0,75,139
221,phil foden,4,7,0,0,55,69
222,fernando luiz rosa,10,27,1,0,51,55
223,ilkay gundogan,7,28,0,0,51,65
224,chris smalling,0,0,0,0,52,0
225,ashley young,2,10,0,0,54,24
226,victor lindelof,12,32,1,0,53,116
227,luke shaw,8,15,0,0,54,67
228,marcos rojo,0,2,0,0,48,3
229,eric bailly,1,1,0,0,47,9
230,jose diogo dalot teixeira,0,1,0,0,49,4
231,matteo darmian,0,0,0,0,49,0
232,phil jones,0,3,0,0,47,2
233,romelu lukaku,0,0,0,0,85,0
234,marcus rashford,9,29,0,0,89,177
235,mason greenwood,6,13,0,0,48,103
236,david de gea,13,36,0,95,53,143
237,sergio romero,0,0,0,0,46,0
238,lee grant,0,0,0,0,47,0
239,paul pogba,6,9,0,0,83,51
240,anthony martial,14,27,0,0,85,200
241,alexis sanchez,0,0,0,0,68,0
242,jesse lingard,1,14,0,0,63,32
243,juan mata,4,8,0,0,61,38
244,daniel james,7,29,0,0,57,95
245,frederico rodrigues de paula santos,6,26,0,0,51,50
246,angel gomes,0,1,0,0,47,2
247,andreas pereira,6,16,0,0,47,60
248,nemanja matic,10,13,0,0,48,55
249,scott mctominay,3,20,0,0,48,74
250,tahith chong,0,0,0,0,42,3
251,james garner,0,1,0,0,43,1
252,matt ritchie,8,19,0,0,53,74
253,fabian schar,4,38,0,0,50,55
254,deandre yedlin,1,18,0,0,44,26
255,federico fernandez,8,42,1,0,46,102
256,paul dummett,5,20,1,0,43,44
257,javier manquillo,8,21,0,0,43,65
258,florian lejeune,1,10,0,0,43,24
259,jamaal lascelles,8,31,0,0,42,73
260,ciaran clark,4,14,0,0,43,49
261,yoshinori muto,0,7,0,0,51,9
262,jose luis mato sanmartin,0,0,0,0,50,0
263,martin dubravka,11,58,0,139,51,143
264,karl darlow,0,0,0,0,43,0
265,frederick woodman,0,0,0,0,39,0
266,ayoze perez,9,25,0,0,60,129
267,miguel almiron,12,48,0,0,58,109
268,christian atsu,3,15,0,0,53,37
269,sung-yueng ki,0,6,0,0,47,4
270,jonjo shelvey,8,34,0,0,49,105
271,sean longstaff,2,26,0,0,50,44
272,isaac hayden,8,36,0,0,44,73
273,timm klose,0,13,0,0,43,9
274,ben godfrey,3,62,1,0,44,38
275,maximillian aarons,5,71,0,0,42,66
276,christoph zimmermann,3,27,0,0,44,35
277,jamal lewis,3,56,0,0,44,48
278,grant hanley,2,25,1,0,40,23
279,teemu pukki,6,59,0,0,64,139
280,dennis srbeny,0,2,0,0,52,13
281,tim krul,5,68,1,131,46,109
282,michael mcgovern,0,6,0,7,41,11
283,mario vrancic,0,19,0,0,62,29
284,emiliano buendia,3,54,0,0,60,94
285,onel hernandez,1,32,0,0,53,52
286,marco stiepermann,1,32,0,0,50,32
287,kenny mclean,5,63,0,0,48,77
288,todd cantwell,6,54,0,0,45,111
289,moritz leitner,1,16,0,0,43,16
290,alexander tettey,5,44,0,0,44,67
291,tom trybull,2,25,0,0,43,28
292,enda stevens,13,39,0,0,52,142
293,kieron freeman,0,0,0,0,42,2
294,jack o’connell,12,28,0,0,45,111
295,george baldock,13,39,0,0,50,142
296,john egan,13,33,0,0,47,133
297,richard stearman,0,0,0,0,39,0
298,john lundstram,10,29,0,0,46,144
299,billy sharp,4,10,0,0,52,57
300,jake eastwood,0,0,0,0,43,0
301,mark duffy,0,0,0,0,52,0
302,john fleck,8,30,0,0,47,101
303,oliver norwood,13,36,0,0,47,98
