,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,name,Clean Sheets,Conceded,Own Goals,Saves,Cost,Points
1,bernd leno,1,9,0,10,45,10
2,runar alex runarsson,0,0,0,0,40,0
3,willian borges da silva,0,0,0,0,63,0
4,pierre-emerick aubameyang,6,16,0,0,96,44
5,cedric soares,3,27,0,0,42,48
6,alexandre lacazette,10,17,0,0,81,90
7,granit xhaka,6,38,0,0,48,60
8,pablo mari,0,4,0,0,42,1
9,hector bellerin,0,0,0,0,48,0
10,calum chambers,4,16,0,0,42,42
11,sead kolasinac,0,5,0,0,42,0
12,mohamed naser el sayed elneny,0,17,0,0,44,27
13,ainsley maitland-niles,2,4,0,0,52,12
14,rob holding,2,16,0,0,41,29
15,thomas partey,10,25,0,0,50,71
16,kieran tierney,11,21,0,0,49,106
17,nicolas pepe,2,9,0,0,69,45
18,lucas torreira,0,0,0,0,45,0
19,joseph willock,6,37,0,0,53,79
20,edward nketiah,0,18,0,0,57,55
21,emile smith rowe,8,28,0,0,57,125
22,bukayo saka,13,39,0,0,67,179
23,gabriel magalhaes,13,38,0,0,53,146
24,konstantinos mavropanos,0,0,0,0,45,0
25,matteo guendouzi,0,0,0,0,45,0
26,gabriel teodoro martinelli silva,7,25,0,0,53,110
27,william saliba,0,0,0,0,45,0
28,jed steer,0,3,0,1,39,1
29,conor hourihane,0,0,0,0,49,0
30,emiliano martinez,11,48,0,95,55,129
31,bjorn engels,0,0,0,0,45,0
32,bertrand traore,0,3,0,0,57,13
33,jack grealish,15,8,0,0,75,86
34,morgan sanson,0,8,0,0,50,13
35,john mcginn,10,48,0,0,56,110
36,kortney hause,1,9,0,0,44,20
37,mahmoud ahmed ibrahim hassan,0,1,0,0,54,1
38,tyrone mings,11,49,0,0,50,118
39,matt targett,9,47,1,0,47,101
40,ollie watkins,10,48,0,0,75,131
41,marvelous nakamba,2,20,0,0,44,22
42,anwar el ghazi,1,8,0,0,56,22
43,emiliano buendia stati,7,32,0,0,61,107
44,matthew cash,13,50,0,0,53,147
45,ezri konsa ngoyo,8,43,0,0,49,78
46,frederic guilbert,0,0,0,0,45,0
47,wesley moraes,0,0,0,0,54,1
48,mbwana ally samatta,0,0,0,0,55,0
49,keinan davis,0,0,0,0,45,1
50,douglas luiz soares de paulo,10,38,0,0,43,89
51,jacob ramsey,12,35,0,0,47,109
52,ashley young,4,19,1,0,47,50
53,adam lallana,6,20,0,0,53,44
54,jason steele,0,2,0,3,39,2
55,pascal groß,8,24,0,0,56,88
56,shane duffy,4,19,0,0,40,48
57,davy propper,0,0,0,0,45,0
58,dan burn,9,30,0,0,44,92
59,lewis dunk,10,33,0,0,48,92
60,solomon march,7,23,0,0,53,61
61,adam webster,4,20,0,0,43,59
62,joel veltman,8,39,0,0,42,95
63,neal maupay,7,31,0,0,62,98
64,leandro trossard,11,33,0,0,59,141
65,mathew ryan,0,0,0,0,45,0
66,alireza jahanbakhsh,0,0,0,0,55,0
67,ben white,13,35,1,0,46,107
68,bernardo fernandes da silva junior,0,0,0,0,40,0
69,robert sanchez,11,42,0,101,45,126
70,yves bissouma,7,28,0,0,44,66
71,tariq lamptey,6,21,0,0,45,74
72,aaron connolly,0,1,0,0,53,5
73,steven alzate,0,7,0,0,48,13
74,alexis mac allister,6,29,0,0,51,93
75,jakub moder,5,23,0,0,45,58
76,pontus jansson,8,56,0,0,45,122
77,christian nørgaard,8,51,0,0,50,101
78,ivan toney,8,47,0,0,69,139
79,tariqe fosu-henry,0,0,0,0,51,1
80,david raya martin,8,27,0,78,44,95
81,sergi canos,8,36,1,0,55,81
82,pelenda joshua dasilva,0,6,0,0,53,7
83,rico henry,9,41,0,0,45,108
84,vitaly janelt,9,37,0,0,49,90
85,saman ghoddos,1,4,0,0,52,30
86,mathias jensen,3,30,0,0,49,54
87,charlie goode,1,6,0,0,39,10
88,marcus forss,0,4,0,0,53,11
89,mads roerslev rasmussen,1,27,0,0,41,41
90,mads bech sørensen,2,14,0,0,43,22
91,ethan pinnock,7,43,0,0,44,90
92,ellery balcombe,0,0,0,0,40,0
93,jan zamburek,0,0,0,0,44,0
94,patrik gunnarsson,0,0,0,0,39,0
95,halil dervi?o?lu,0,0,0,0,54,0
96,bryan mbeumo,9,47,0,0,52,119
97,mads bidstrup,0,0,0,0,44,4
98,james tarkowski,7,51,1,0,49,83
99,phil bardsley,0,0,0,0,39,0
100,erik pieters,4,5,0,0,41,37
101,jack cork,6,26,0,0,44,48
102,dale stephens,1,0,0,0,44,4
103,kevin long,0,7,0,0,40,7
104,jay rodriguez,6,15,0,0,51,60
105,ashley barnes,1,19,0,0,52,32
106,ben mee,6,25,1,0,46,74
107,ashley westwood,4,40,0,0,52,63
108,johann berg gudmundsson,3,19,0,0,54,33
109,chris wood,6,41,0,0,63,91
110,matthew lowton,4,30,0,0,44,65
111,matej vydra,2,7,0,0,52,46
112,nick pope,9,47,0,120,53,130
113,charlie taylor,5,48,0,0,44,78
114,will norris,0,0,0,0,43,0
115,josh brownhill,7,45,0,0,43,92
116,josh benson,0,0,0,0,45,0
117,bailey peacock-farrell,0,0,0,0,45,0
118,dwight mcneil,9,49,0,0,55,84
119,cesar azpilicueta,7,23,0,0,56,87
120,olivier giroud,0,0,0,0,65,0
121,thiago emiliano da silva,11,28,0,0,56,130
122,marcos alonso,9,22,0,0,57,128
123,jorge luiz frello filho,12,16,0,0,57,106
124,ross barkley,1,2,0,0,52,14
125,mateo kovacic,8,11,0,0,49,76
126,michy batshuayi,0,0,0,0,55,0
127,antonio rudiger,15,27,0,0,61,150
128,kurt zouma,5,29,1,0,54,66
