,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,name,Clean Sheets,Conceded,Own Goals,Saves,Cost,Points
1,a.armstrong,1,24,0,0,53,54
2,a.ayew,0,10,0,0,50,11
3,a.doucoure,4,27,0,0,53,76
4,aaronson,5,58,0,0,53,83
5,abbott,0,0,0,0,45,1
6,ablade,0,0,0,0,45,0
7,adama,2,30,0,0,53,66
8,adams,4,41,0,0,60,94
9,adams,5,36,0,0,49,47
10,adaramola,0,0,0,0,40,0
11,adrian,0,0,0,0,38,0
12,adu-adjei,0,0,0,0,45,0
13,aguerd,5,28,0,0,48,58
14,ahamada,0,2,0,0,45,7
15,ajer,4,14,0,0,45,29
16,akanji,7,23,0,0,51,82
17,ake,9,15,0,0,50,92
18,albrighton,0,3,0,0,47,13
19,alcaraz,0,25,0,0,50,55
20,alexander-arnold,10,44,0,0,78,156
21,alisson,14,43,0,107,55,162
22,allan,0,0,0,0,48,0
23,almiron,15,22,0,0,54,158
24,alonso,0,0,0,0,53,0
25,alonso,0,0,0,0,45,0
26,alzate,0,0,0,0,44,0
27,amad,0,0,0,0,44,0
28,amartey,5,27,0,0,39,51
29,amo-ameyaw,0,0,0,0,45,1
30,ampadu,0,0,0,0,44,0
31,anang,0,0,0,0,40,0
32,andersen,8,37,2,0,45,80
33,anderson,1,7,0,0,43,30
34,andreas,8,40,0,0,43,123
35,andrey santos,0,0,0,0,45,0
36,andre gomes,0,0,0,0,45,0
37,anthony,2,29,0,0,52,61
38,antonio,5,29,0,0,69,84
39,antony,12,21,0,0,73,82
40,archer,0,1,0,0,42,6
41,areola,0,7,0,9,43,7
42,aribo,1,24,0,0,50,46
43,arrizabalaga,9,33,0,91,45,118
44,arter,0,0,0,0,41,0
45,arthur,0,0,0,0,48,0
46,ashby,0,0,0,0,38,0
47,aubameyang,1,8,0,0,84,25
48,augustinsson,0,0,0,0,43,2
49,aurier,6,31,0,0,43,70
50,austin,0,0,0,0,39,0
51,awoniyi,5,29,0,0,56,100
52,ayari,0,2,0,0,45,3
53,ayling,3,48,0,0,45,59
54,azpilicueta,3,21,1,0,47,45
55,ait-nouri,4,18,1,0,41,41
56,b.williams,0,0,0,0,37,0
57,badiashile,4,9,0,0,50,40
58,bade,0,0,0,0,45,0
59,bailey,8,32,0,0,43,100
60,bailly,0,0,0,0,40,0
61,bajcetic,3,4,0,0,43,22
62,balcombe,0,0,0,0,40,0
63,ballard,0,0,0,0,45,2
64,balmer,0,0,0,0,40,0
65,bamford,1,31,0,0,71,70
66,bandeira,0,0,0,0,45,0
67,baptiste,1,6,0,0,45,29
68,barkley,0,0,0,0,49,0
69,barnes,6,51,0,0,66,138
70,bate,0,0,0,0,45,0
71,bazunu,4,56,0,69,44,84
72,bech,0,0,0,0,45,4
73,bednarek,3,40,1,0,41,32
74,begovic,1,0,0,4,38,9
75,bella-kotchap,3,39,0,0,45,49
76,bennett,0,0,0,0,40,0
77,benrahma,6,32,0,0,55,106
78,bentancur,6,24,0,0,53,71
79,benteke,0,0,0,0,55,0
80,bentley,0,3,0,11,40,6
81,bergwijn,0,0,0,0,55,0
82,bernardo,7,24,0,0,67,106
83,bertrand,0,0,0,0,39,0
84,bettinelli,0,0,0,0,40,0
85,bevan,0,1,0,0,40,1
86,biancone,0,1,0,0,42,2
87,bidstrup,0,0,0,0,45,0
88,billing,9,54,0,0,50,126
89,bishop,0,0,0,0,40,0
90,bissouma,1,20,0,0,47,27
91,bogarde,0,0,0,0,40,0
92,boly,3,10,0,0,41,37
93,botman,13,30,0,0,45,129
94,bowen,9,50,0,0,80,145
95,branthwaite,0,0,0,0,40,0
96,braybrooke,0,0,0,0,45,0
97,bree,0,12,0,0,45,4
98,broja,1,5,0,0,52,21
99,brooks,0,4,0,0,53,5
100,bruno guimaraes,12,25,0,0,55,107
101,brunt,0,1,0,0,39,1
102,bryan,0,0,0,0,44,0
103,bryan,1,1,0,0,50,9
104,buendia,11,34,0,0,57,117
105,bueno,3,29,0,0,38,41
106,buonanotte,1,12,0,0,45,26
107,burn,14,30,0,0,45,129
108,butland,0,0,0,0,44,0
109,butler-oyedeji,0,0,0,0,45,0
110,c.doucoure,7,41,0,0,50,74
111,c.robinson,0,0,0,0,40,0
112,caballero,0,0,0,0,38,0
113,cafu,0,0,0,0,42,1
114,caicedo,10,47,0,0,50,79
115,cairney,1,13,0,0,47,53
116,caleta-car,1,15,0,0,44,28
117,calvert-lewin,4,22,0,0,79,40
118,campbell,0,2,0,0,44,5
119,cancelo,6,16,0,0,71,73
120,cannon,0,1,0,0,45,2
121,canos,0,2,0,0,50,5
122,carson,0,0,0,0,38,0
123,carvalho,0,3,0,0,51,27
124,casemiro,10,22,0,0,49,87
125,casey,0,0,0,0,40,0
126,cash,4,29,0,0,46,57
127,castagne,8,63,0,0,43,114
128,cavaleiro,0,0,0,0,48,0
129,chalobah,5,24,1,0,44,49
130,chalobah,0,4,0,0,44,1
131,chamberlain,0,7,0,0,49,20
132,chambers,0,4,0,0,42,13
133,chambers,0,0,0,0,40,0
134,charles,0,1,0,0,45,1
135,chilokoa-mullen,0,0,0,0,40,0
136,chilwell,4,19,0,0,56,70
137,chiquinho,0,0,0,0,50,0
138,choudhury,0,0,0,0,45,0
139,christie,3,35,0,0,53,64
140,chukwuemeka,1,7,0,0,42,18
141,clark,0,0,0,0,45,0
142,clark,0,0,0,0,45,1
143,clarke,0,0,0,0,40,0
144,clyne,3,23,0,0,45,44
145,coady,7,28,0,0,47,77
146,colback,0,11,0,0,41,14
147,coleman,5,25,0,0,41,63
148,collins,4,37,0,0,42,49
149,colwill,3,21,0,0,44,46
150,cook,3,39,0,0,49,51
151,cook,2,21,0,0,43,20
152,cooper,2,32,0,0,44,31
153,cornet,0,5,0,0,59,14
154,coufal,4,35,0,0,40,58
155,coutinho,3,9,0,0,66,32
156,coventry,0,0,0,0,44,1
157,cox,0,0,0,0,39,0
158,cozier-duberry,0,0,0,0,45,0
159,craig,0,0,0,0,45,1
160,crama,0,0,0,0,40,0
161,cresswell,6,32,0,0,47,74
162,cucurella,6,20,0,0,49,65
163,cundle,0,0,0,0,44,0
164,cunha,5,12,0,0,53,39
165,cedric,0,3,0,0,42,10
166,d.d.fofana,0,1,0,0,50,3
167,dacosta gonzalez,0,0,0,0,44,0
168,daka,5,24,0,0,56,70
169,dale taylor,0,0,0,0,45,0
170,dallas,0,0,0,0,49,0
171,dalot,10,34,0,0,48,102
172,damsgaard,3,14,0,0,50,33
173,danilo,1,18,0,0,45,48
174,danjuma,0,5,0,0,61,15
175,darlow,0,0,0,0,39,0
176,darwin,7,22,0,0,86,100
177,dasilva,5,17,0,0,41,81
178,davies,1,9,0,0,49,19
179,davies,9,33,0,0,47,99
180,davies,0,0,0,0,40,0
181,davis,0,0,0,0,54,0
182,dawson,7,31,0,0,48,75
183,de bruyne,10,23,0,0,121,183
184,de cordova-reid,8,40,0,0,54,90
185,de gea,17,43,0,101,51,161
186,delap,0,0,0,0,44,0
187,dele,0,1,0,0,53,2
188,dembele,0,2,0,0,47,6
189,dendoncker,4,14,0,0,47,37
190,dennis,0,0,0,0,39,0
191,dennis,1,17,0,0,56,39
192,dervisoglu,0,0,0,0,45,4
193,devine,0,0,0,0,43,0
194,dewsbury-hall,7,41,0,0,49,82
195,diallo,0,19,0,0,41,19
196,dias,9,16,0,0,60,80
197,dibley-dias,0,0,0,0,45,0
198,diego carlos,0,3,0,0,47,4
199,diego costa,6,17,0,0,53,33
200,dier,9,52,0,0,50,96
201,digne,3,25,1,0,45,50
202,diogo jota,5,19,0,0,86,80
203,diop,7,26,0,0,43,79
204,djenepo,0,14,0,0,49,27
205,doak,0,1,0,0,45,2
206,doherty,3,9,0,0,46,35
207,douglas luiz,13,35,0,0,48,142
208,downes,1,14,0,0,42,27
209,doyle,0,0,0,0,45,1
210,drameh,0,3,0,0,40,1
211,drager,0,0,0,0,40,0
212,dubravka,1,1,0,10,41,11
213,duffy,0,4,0,0,42,4
214,dummett,0,0,0,0,39,0
215,dunk,12,50,1,0,48,112
216,duran,0,4,0,0,55,11
217,ebiowei,0,1,0,0,42,3
218,ederson,11,32,0,46,54,121
219,edouard,5,25,0,0,50,82
220,edozie,1,9,0,0,46,23
221,el ghazi,0,0,0,0,48,0
222,elanga,2,2,0,0,46,23
223,elliott,5,20,0,0,48,62
224,elneny,0,2,0,0,41,6
225,elyounoussi,2,45,0,0,51,62
226,emerson,2,28,0,0,40,39
227,emerson royal,7,27,0,0,48,86
228,enciso,4,12,0,0,46,57
229,enzo,3,25,0,0,50,42
230,eriksen,13,25,0,0,62,103
231,estupinan,10,43,0,0,50,128
232,evans,2,28,0,0,44,20
233,eze,9,35,0,0,57,159
234,fabianski,9,48,0,109,49,127
235,fabinho,11,34,0,0,52,70
236,fabio silva,0,0,0,0,55,0
237,faes,7,51,2,0,42,78
238,felipe,1,32,0,0,45,25
239,ferguson,0,0,0,0,39,0
240,ferguson,6,12,0,0,46,65
241,fernandes,18,39,0,0,95,176
242,fernandez,0,0,0,0,44,0
243,finnigan,0,0,0,0,45,0
244,firmino,4,17,0,0,80,104
245,firpo,1,33,0,0,45,30
246,foden,5,16,0,0,80,142
247,fornals,1,28,0,0,49,71
248,forshaw,0,13,0,0,44,16
249,forss,0,0,0,0,45,0
250,forster,3,24,0,32,39,40
251,francois,0,0,0,0,44,1
252,fraser,1,3,0,0,52,11
253,fraser,0,0,0,0,45,0
254,fred,4,22,0,0,51,62
255,fredericks,0,11,0,0,44,12
256,freuler,6,47,0,0,49,54
257,furlong,0,0,0,0,40,0
258,fabio vieira,2,5,0,0,56,40
259,g.shelvey,0,0,0,0,40,0
260,gabriel,14,43,0,0,52,146
261,gakpo,6,19,0,0,76,90
262,gallagher,4,23,0,0,56,66
263,garnacho,0,13,0,0,41,39
264,garner,2,13,0,0,45,25
265,gayle,0,0,0,0,45,0
266,gazzaniga,0,0,0,0,40,0
267,gbamin,0,0,0,0,45,0
268,gelhardt,0,3,0,0,51,20
269,ghoddos,0,5,0,0,48,15
270,gibbs-white,8,61,0,0,55,145
271,gilchrist,0,0,0,0,40,0
272,gillespie,0,0,0,0,40,0
273,gilmour,2,8,0,0,42,21
274,gnonto,4,28,0,0,47,55
275,godfrey,1,18,0,0,43,18
276,godo,0,0,0,0,45,0
277,gomes,0,0,0,0,45,0
278,gomez,8,16,0,0,43,68
279,goode,0,0,0,0,39,0
280,goodman,0,0,0,0,40,0
281,gordon,4,18,0,0,51,68
282,gordon,0,0,0,0,45,0
283,gray,7,39,0,0,51,91
284,gray,0,0,0,0,45,0
285,grealish,10,16,0,0,71,121
286,greenwood,0,11,0,0,41,30
287,greenwood,0,0,0,0,40,0
288,griffiths,0,0,0,0,44,0
289,groß,11,51,1,0,54,159
290,guaita,6,34,0,85,44,99
291,guedes,2,12,0,0,58,29
292,gueye,8,45,0,0,47,66
293,guilbert,0,0,0,0,39,0
294,guehi,9,46,1,0,45,95
295,gyabi,0,0,0,0,42,1
296,gundogan,10,20,0,0,74,132
297,h.davies,0,0,0,0,40,0
298,h.traore,2,8,0,0,45,14
299,haaland,13,26,0,0,124,272
300,hall,1,11,0,0,43,19
301,hammond,0,0,0,0,42,0
302,harris,0,1,0,0,43,3
303,harrison,6,55,1,0,57,134
304,hause,0,0,0,0,44,0
305,havertz,9,31,0,0,74,102
306,heaton,0,0,0,0,38,0
307,hegyi,0,0,0,0,39,0
308,hein,0,0,0,0,39,0
309,henderson,8,30,0,0,53,69
310,henderson,6,31,0,54,46,82
311,hendrick,0,0,0,0,45,0
312,hennessey,0,5,0,10,39,8
313,henry,11,46,0,0,44,112
314,hickey,5,30,0,0,49,63
315,hill,0,0,0,0,44,0
316,hinshelwood,0,0,0,0,45,1
317,hjelde,0,0,0,0,39,0
318,hodge,0,5,0,0,43,5
319,holding,0,13,0,0,42,21
320,holgate,2,9,0,0,42,16
321,hudson-odoi,0,0,0,0,53,0
322,hughes,1,11,0,0,48,41
323,humphreys,0,0,0,0,45,0
324,hutchinson,0,0,0,0,42,1
325,hwang,3,18,0,0,57,60
326,højbjerg,10,57,0,0,53,120
327,iheanacho,1,23,0,0,58,82
328,ings,5,26,0,0,63,97
329,iqbal,0,0,0,0,42,0
330,iroegbunam,0,0,0,0,45,0
331,isak,4,20,0,0,70,100
