,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,name,Clean Sheets,Conceded,Own Goals,Saves,Cost,Points
1,mesut ozil,0,0,0,0,67,0
2,sokratis papastathopoulos,0,0,0,0,48,0
3,david luiz moreira marinho,3,20,0,0,54,41
4,pierre-emerick aubameyang,10,26,1,0,113,131
5,cedric soares,2,11,0,0,46,28
6,alexandre lacazette,7,21,0,0,84,129
7,shkodran mustafi,0,1,0,0,50,3
8,bernd leno,11,37,1,86,50,131
9,granit xhaka,10,27,0,0,52,70
10,pablo mari,4,8,0,0,44,34
11,hector bellerin,7,24,0,0,50,94
12,emiliano martinez,15,46,0,142,53,186
13,calum chambers,2,10,0,0,45,36
14,sead kolasinac,0,1,0,0,48,2
15,ainsley maitland-niles,6,23,0,0,46,68
16,rob holding,11,26,1,0,43,105
17,kieran tierney,8,27,0,0,52,96
18,nicolas pepe,4,21,0,0,77,114
19,lucas torreira,0,0,0,0,47,0
20,joseph willock,4,18,0,0,49,79
21,reiss nelson,0,0,0,0,51,2
22,edward nketiah,1,6,0,0,53,36
23,emile smith rowe,9,10,0,0,42,74
24,bukayo saka,8,31,1,0,51,114
25,matteo guendouzi,0,0,0,0,47,0
26,gabriel teodoro martinelli silva,4,3,0,0,49,36
27,william saliba,0,0,0,0,40,0
28,tom heaton,0,0,0,0,45,0
29,ahmed el mohamady,3,9,0,0,42,33
30,henri lansbury,0,0,0,0,43,0
31,neil taylor,0,2,0,0,42,-1
32,jed steer,0,0,0,0,39,0
33,conor hourihane,2,2,0,0,59,20
34,jose ignacio peleteiro romallo,0,0,0,0,59,0
35,ørjan nyland,0,0,0,0,40,0
36,bjorn engels,0,0,0,0,44,0
37,jack grealish,12,28,0,0,75,135
38,john mcginn,14,46,0,0,55,114
39,kortney hause,3,6,0,0,44,32
40,mahmoud ahmed ibrahim hassan,6,14,0,0,52,56
41,tyrone mings,14,42,1,0,54,128
42,matt targett,16,44,0,0,50,138
43,james bree,0,0,0,0,45,0
44,marvelous nakamba,4,6,0,0,43,27
45,anwar el ghazi,5,22,0,0,52,111
46,ezri konsa ngoyo,12,46,0,0,46,119
47,frederic guilbert,0,0,0,0,43,0
48,wesley moraes,0,1,0,0,60,3
49,mbwana samatta,0,0,0,0,59,0
50,keinan davis,1,1,0,0,42,23
51,indiana vassilev,0,0,0,0,43,0
52,douglas luiz soares de paulo,12,41,0,0,48,72
53,glenn murray,0,0,0,0,48,0
