,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,petr cech,1,9,0,27,47,24
1,bernd leno,6,42,0,105,49,106
2,hector bellerin,4,21,1,0,53,60
3,rob holding,1,10,0,0,43,24
4,shkodran mustafi,6,40,0,0,54,80
5,konstantinos mavropanos,0,1,0,0,47,3
6,stephan lichtsteiner,0,18,0,0,45,14
7,sokratis papastathopoulos,5,33,0,0,51,64
8,mesut ozil,5,24,0,0,79,89
9,alex iwobi,4,32,0,0,54,99
10,mohamed elneny,0,5,0,0,42,10
11,granit xhaka,7,37,0,0,52,90
12,henrikh mkhitaryan,3,26,0,0,66,98
13,reiss nelson,0,0,0,0,44,0
14,ainsley maitland-niles,2,20,0,0,44,34
15,danny welbeck,0,3,0,0,64,19
16,alexandre lacazette,6,31,0,0,94,166
17,laurent koscielny,3,23,0,0,54,62
18,nacho monreal,5,24,0,0,54,77
19,sead kolasinac,5,29,1,0,49,81
20,aaron ramsey,9,13,0,0,71,91
21,pierre-emerick aubameyang,7,42,0,0,108,205
22,lucas torreira,5,38,0,0,47,78
23,matteo guendouzi,3,32,0,0,44,47
24,asmir begovic,5,47,0,59,43,63
25,artur boruc,4,18,0,39,41,46
26,simon francis,4,24,0,0,43,40
27,steve cook,9,56,1,0,43,85
28,charlie daniels,4,34,0,0,41,44
29,adam smith,8,33,0,0,43,70
30,tyrone mings,0,4,0,0,42,5
31,nathan ake,10,70,0,0,51,120
32,jack simpson,1,9,1,0,39,10
33,harry arter,7,39,0,0,49,48
34,marc pugh,0,0,0,0,43,0
35,andrew surman,4,37,0,0,46,36
36,junior stanislas,2,24,0,0,60,56
37,dan gosling,4,33,0,0,47,54
38,jordon ibe,1,23,0,0,49,33
39,lewis cook,3,10,0,0,46,22
40,ryan fraser,9,64,0,0,64,181
41,emerson hyndman,0,2,0,0,44,1
42,david brooks,9,41,0,0,50,123
43,callum wilson,9,47,0,0,69,168
44,lys mousset,0,15,0,0,49,28
45,joshua king,10,57,0,0,64,141
46,jermain defoe,0,2,0,0,56,4
47,diego rico,0,19,0,0,41,8
48,jefferson lerma,9,49,1,0,45,75
49,mathew ryan,6,55,0,97,44,104
50,lewis dunk,7,56,0,0,44,91
51,shane duffy,7,55,0,0,47,115
52,bruno saltor grau,4,17,0,0,44,46
53,gaetan bong,5,34,0,0,44,48
54,markus suttner,0,0,0,0,38,0
