,Name,Nationality,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Penalties,Penalty Attempts,Yellow Cards,Red Cards,xG,xA
0,patrick van aanholt,NED,DF,Crystal Palace,29,22,20,"1,777",0,1,0,0,2,0,1.4,0.7
1,tammy abraham,ENG,FW,Chelsea,22,22,12,"1,040",6,1,0,0,0,0,5.9,0.7
2,che adams,SCO,FW,Southampton,24,36,30,"2,667",9,5,0,0,1,0,9.8,5.0
3,tosin adarabioyo,ENG,DF,Fulham,22,33,33,"2,953",0,0,0,0,1,0,1.1,0.3
4,adrian,ESP,GK,Liverpool,33,3,3,270,0,0,0,0,0,0,0.0,0.0
5,sergio aguero,ARG,FW,Manchester City,32,12,7,559,4,1,1,2,0,0,3.5,1.2
6,ola aina,NGA,DF,Fulham,23,31,31,"2,664",2,1,0,0,3,0,1.2,1.5
7,rayan ait-nouri,ALG,DF,Wolves,19,21,16,"1,404",1,1,0,0,1,0,0.6,0.6
8,semi ajayi,NGA,DF,West Brom,26,33,31,"2,780",2,0,0,0,3,1,1.9,0.5
9,nathan ake,NED,DF,Manchester City,25,10,9,797,1,0,0,0,4,0,0.3,0.0
10,marc albrighton,ENG,"DF,FW",Leicester City,30,31,17,"1,746",1,5,0,0,2,0,1.2,3.5
11,thiago alcantara,ESP,MF,Liverpool,29,24,20,"1,854",1,0,0,0,4,0,1.2,2.3
12,toby alderweireld,BEL,DF,Tottenham,31,25,25,"2,240",1,0,0,0,2,0,0.7,0.7
13,runar alex runarsson,ISL,GK,Arsenal,25,1,0,16,0,0,0,0,0,0,0.0,0.0
14,trent alexander-arnold,ENG,DF,Liverpool,21,36,34,"3,031",2,7,0,0,2,0,2.6,8.6
15,ezgjan alioski,MKD,"DF,MF",Leeds United,28,36,29,"2,461",2,3,0,0,7,0,1.6,3.3
16,alisson,BRA,GK,Liverpool,27,33,33,"2,970",1,0,0,0,1,0,0.1,0.0
17,allan,BRA,MF,Everton,29,24,23,"2,051",0,0,0,0,6,0,0.3,0.8
18,dele alli,ENG,MF,Tottenham,24,15,7,620,0,1,0,0,0,0,2.0,1.2
19,miguel almiron,PAR,"MF,FW",Newcastle Utd,26,34,28,"2,429",4,1,0,0,3,0,3.2,2.9
20,marcos alonso,ESP,DF,Chelsea,29,13,11,960,2,0,0,0,2,0,1.8,1.3
21,steven alzate,COL,MF,Brighton,21,15,10,896,1,0,0,0,2,0,0.8,0.6
22,daniel amartey,GHA,DF,Leicester City,25,12,8,722,1,0,0,0,3,0,0.4,0.0
23,ethan ampadu,WAL,"DF,MF",Sheffield Utd,19,25,23,"2,089",0,0,0,0,3,0,0.3,1.2
24,joachim andersen,DEN,DF,Fulham,24,31,30,"2,730",1,1,0,0,7,1,1.2,0.4
25,,,,,,,,,,,,,,,,
26,elliot anderson,ENG,MF,Newcastle Utd,17,1,0,4,0,0,0,0,0,0,0.0,0.0
27,felipe anderson,BRA,"FW,MF",West Ham,27,2,0,3,0,0,0,0,0,0,0.0,0.0
28,michail antonio,JAM,FW,West Ham,30,26,24,"1,974",10,5,0,0,3,0,12.9,3.0
29,alphonse areola,FRA,GK,Fulham,27,36,36,"3,240",0,0,0,0,2,0,0.0,0.0
30,stuart armstrong,SCO,MF,Southampton,28,33,32,"2,764",4,5,0,0,3,0,2.7,2.6
31,kepa arrizabalaga,ESP,GK,Chelsea,25,7,6,585,0,0,0,0,1,0,0.0,0.0
32,pierre-emerick aubameyang,GAB,FW,Arsenal,31,29,26,"2,332",10,3,2,2,2,0,10.2,2.4
33,serge aurier,CIV,DF,Tottenham,27,19,19,"1,605",2,3,0,0,0,0,1.1,3.4
34,charlie austin,ENG,"FW,MF",West Brom,31,5,0,138,0,0,0,0,0,0,0.4,0.0
35,jordan ayew,GHA,"FW,MF",Crystal Palace,28,33,23,"2,096",1,3,0,0,4,0,2.2,0.7
36,luke ayling,ENG,DF,Leeds United,28,38,38,"3,399",0,0,0,0,7,0,1.7,3.2
37,cesar azpilicueta,ESP,DF,Chelsea,30,26,24,"2,188",1,2,0,0,5,1,0.7,2.5
38,eric bailly,CIV,DF,Manchester Utd,26,12,10,916,0,0,0,0,3,0,0.1,0.0
39,fabian balbuena,PAR,DF,West Ham,28,14,13,"1,198",1,0,0,0,1,1,0.7,0.0
40,george baldock,GRE,DF,Sheffield Utd,27,32,32,"2,787",0,2,0,0,7,0,1.2,2.9
41,gareth bale,WAL,FW,Tottenham,31,20,10,920,11,2,0,0,1,0,5.8,1.8
42,patrick bamford,ENG,FW,Leeds United,26,38,37,"3,050",17,7,2,2,3,0,18.2,3.5
43,phil bardsley,SCO,DF,Burnley,35,4,3,274,0,0,0,0,2,0,0.1,0.0
44,ross barkley,ENG,MF,Aston Villa,26,24,18,"1,531",3,1,0,0,0,0,3.1,4.2
45,ross barkley,ENG,"FW,MF",Chelsea,26,2,0,42,0,0,0,0,0,0,0.0,0.1
46,ashley barnes,ENG,FW,Burnley,30,22,15,"1,331",3,0,1,1,4,0,4.1,0.8
47,harvey barnes,ENG,"FW,MF",Leicester City,22,25,22,"1,945",9,4,0,0,0,0,5.9,1.6
48,kyle bartley,ENG,DF,West Brom,29,30,28,"2,584",3,1,0,0,4,0,2.5,1.4
49,chris basham,ENG,"DF,MF",Sheffield Utd,32,31,31,"2,576",0,1,0,0,5,0,0.7,0.9
50,michy batshuayi,BEL,FW,Crystal Palace,26,18,7,728,2,1,0,0,0,0,1.6,1.6
51,,,,,,,,,,,,,,,,
52,jan bednarek,POL,DF,Southampton,24,36,36,"3,100",1,1,0,0,5,1,0.7,0.6
53,donny van de beek,NED,"MF,FW",Manchester Utd,23,19,4,524,1,1,0,0,1,0,0.4,0.9
54,hector bellerin,ESP,"DF,MF",Arsenal,25,25,24,"2,089",1,2,0,0,8,0,0.8,2.4
55,said benrahma,ALG,"FW,MF",West Ham,24,30,14,"1,391",1,6,0,0,0,0,2.6,4.1
56,josh benson,ENG,MF,Burnley,20,6,2,264,0,0,0,0,0,0,0.2,0.0
57,christian benteke,BEL,FW,Crystal Palace,29,30,21,"1,816",10,1,0,0,3,1,8.3,0.9
58,gaetano berardi,SUI,DF,Leeds United,31,2,1,113,0,0,0,0,0,0,0.1,0.0
59,johann berg guðmundsson,ISL,MF,Burnley,29,22,16,"1,363",2,0,0,0,2,0,1.2,0.5
60,sander berge,NOR,MF,Sheffield Utd,22,15,13,"1,120",1,1,1,1,4,0,1.2,1.1
61,steven bergwijn,NED,"FW,MF",Tottenham,22,21,13,"1,208",1,3,0,0,3,0,2.0,0.9
62,bernard,BRA,"MF,FW",Everton,27,12,3,455,1,0,0,0,2,0,0.3,0.6
