,Name,Nationality,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Penalties,Penalty Attempts,Yellow Cards,Red Cards,xG,xA
0,max aarons,ENG,DF,Norwich City,21,34,32,"2,881",0,2,0,0,8,0,0.8,1.7
1,che adams,SCO,FW,Southampton,25,30,23,"2,039",7,3,0,0,0,0,7.1,3.0
2,rayan ait-nouri,ALG,"DF,MF",Wolves,20,23,20,"1,828",1,2,0,0,4,0,0.6,1.6
3,kristoffer ajer,NOR,DF,Brentford,23,24,23,"1,995",1,3,0,0,5,0,0.8,1.7
4,nathan ake,NED,DF,Manchester City,26,14,10,923,2,0,0,0,0,0,0.7,0.6
5,marc albrighton,ENG,"FW,DF",Leicester City,31,17,11,"1,132",1,2,0,0,3,0,0.5,2.0
6,thiago alcantara,ESP,MF,Liverpool,30,25,17,"1,534",1,4,0,0,2,0,1.9,2.3
7,trent alexander-arnold,ENG,DF,Liverpool,22,32,32,"2,853",2,12,0,0,2,0,2.4,12.0
8,alisson,BRA,GK,Liverpool,28,36,36,"3,240",0,1,0,0,0,0,0.0,0.2
9,allan,BRA,MF,Everton,30,28,25,"2,183",0,2,0,0,7,1,0.2,0.8
10,dele alli,ENG,MF,Tottenham,25,10,8,657,1,0,1,1,1,0,1.6,0.3
11,dele alli,ENG,"MF,FW",Everton,25,11,1,338,0,0,0,0,3,0,0.1,0.4
12,miguel almiron,PAR,"MF,FW",Newcastle Utd,27,30,19,"1,716",1,0,0,0,2,0,1.7,0.9
13,marcos alonso,ESP,DF,Chelsea,30,28,25,"2,167",4,4,0,0,8,0,2.8,4.5
14,steven alzate,COL,MF,Brighton,22,9,5,404,0,0,0,0,0,0,0.1,0.2
15,daniel amartey,GHA,DF,Leicester City,26,28,23,"2,123",0,0,0,0,4,0,0.0,0.2
16,joachim andersen,DEN,DF,Crystal Palace,25,34,32,"2,916",0,3,0,0,4,0,0.7,1.7
17,michail antonio,JAM,FW,West Ham,31,36,34,"2,971",10,8,0,1,8,1,10.8,6.0
18,cameron archer,ENG,"FW,MF",Aston Villa,20,3,0,27,0,0,0,0,0,0,0.0,0.0
19,alphonse areola,FRA,GK,West Ham,28,1,1,90,0,0,0,0,0,0,0.0,0.0
20,adam armstrong,ENG,FW,Southampton,24,23,17,"1,413",2,2,0,0,1,0,4.5,1.6
21,stuart armstrong,SCO,MF,Southampton,29,25,15,"1,473",2,0,0,0,1,0,2.5,1.5
