,Name,Nationality,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Penalties,Penalty Attempts,Yellow Cards,Red Cards,xG,xA
0,patrick van aanholt,NED,DF,Crystal Palace,27,36,36,"3,195",3,2,0,0,3,0,2.6,4.4
1,sergio aguero,ARG,FW,Manchester City,30,33,31,"2,459",21,8,2,2,4,0,18.1,5.0
2,nathan ake,NED,DF,Bournemouth,23,38,38,"3,411",4,0,0,0,3,0,3.4,1.0
3,marc albrighton,ENG,"FW,MF",Leicester City,28,27,18,"1,625",2,2,0,0,3,0,1.2,2.9
4,toby alderweireld,BEL,DF,Tottenham,29,34,33,"2,922",0,0,0,0,3,0,1.1,0.6
5,trent alexander-arnold,ENG,DF,Liverpool,19,29,27,"2,462",1,12,0,0,3,0,1.6,6.3
6,alisson,BRA,GK,Liverpool,25,38,38,"3,420",0,0,0,0,1,0,0.0,0.0
7,dele alli,ENG,MF,Tottenham,22,25,22,"1,825",5,3,0,0,4,0,4.8,3.1
8,miguel almiron,PAR,MF,Newcastle Utd,24,10,9,759,0,0,0,0,0,0,1.5,0.6
9,marcos alonso,ESP,DF,Chelsea,27,31,31,"2,759",2,4,0,0,6,0,3.4,3.4
10,daniel amartey,GHA,DF,Leicester City,23,9,7,641,0,0,0,0,2,0,0.3,0.1
11,luke amos,ENG,MF,Tottenham,21,1,0,3,0,0,0,0,0,0,0.0,0.0
12,felipe anderson,BRA,"MF,FW",West Ham,25,36,36,"3,043",9,4,0,0,3,0,5.5,6.1
13,florin andone,ROU,FW,Brighton,25,23,8,881,3,0,0,0,5,0,2.5,0.1
14,michail antonio,JAM,"MF,FW",West Ham,28,33,22,"2,103",6,4,0,0,3,0,7.1,4.4
15,stuart armstrong,SCO,MF,Southampton,26,29,16,"1,432",3,2,0,0,2,0,2.0,1.5
16,marko arnautovic,AUT,FW,West Ham,29,28,24,"1,990",10,4,1,1,3,0,8.9,4.4
17,kepa arrizabalaga,ESP,GK,Chelsea,23,36,36,"3,240",0,0,0,0,2,0,0.0,0.0
18,harry arter,IRL,MF,Cardiff City,28,25,24,"1,997",0,1,0,0,10,0,0.9,0.5
19,christian atsu,GHA,MF,Newcastle Utd,26,28,15,"1,493",1,0,0,0,2,0,2.1,1.6
20,pierre-emerick aubameyang,GAB,FW,Arsenal,29,36,30,"2,726",22,5,4,5,0,0,22.5,4.2
21,serge aurier,CIV,DF,Tottenham,25,8,6,564,0,2,0,0,1,0,0.1,1.0
22,charlie austin,ENG,FW,Southampton,29,25,11,983,2,2,0,1,1,0,3.6,0.9
23,jordan ayew,GHA,FW,Crystal Palace,26,20,14,"1,181",1,2,0,0,3,0,2.9,1.2
24,floyd ayite,TOG,"FW,MF",Fulham,29,16,3,476,1,0,0,0,0,0,0.4,0.5
25,,,,,,,,,,,,,,,,
26,cesar azpilicueta,ESP,DF,Chelsea,28,38,38,"3,402",1,5,0,0,4,0,1.2,2.4
27,ryan babel,NED,"FW,MF",Fulham,31,16,15,"1,251",5,3,0,0,3,0,5.7,2.2
28,juninho bacuna,CUW,"MF,DF",Huddersfield,20,21,16,"1,412",1,0,0,0,4,0,0.7,1.4
29,leandro bacuna,CUW,MF,Cardiff City,26,11,4,561,0,0,0,0,2,0,0.1,0.1
30,eric bailly,CIV,DF,Manchester Utd,24,12,8,638,0,0,0,0,0,1,0.2,0.0
31,leighton baines,ENG,DF,Everton,33,6,5,375,0,0,0,0,0,0,0.1,0.2
32,fabian balbuena,PAR,DF,West Ham,26,23,23,"2,013",1,0,0,0,2,0,2.1,0.2
33,leon balogun,NGA,DF,Brighton,30,8,5,594,1,0,0,0,2,0,0.1,0.0
34,sol bamba,CIV,DF,Cardiff City,33,28,28,"2,474",4,1,0,0,7,0,4.0,0.2
35,phil bardsley,SCO,DF,Burnley,33,19,19,"1,670",0,0,0,0,9,0,0.3,1.1
36,ross barkley,ENG,MF,Chelsea,24,27,13,"1,245",3,5,0,0,1,0,4.0,2.1
37,ashley barnes,ENG,FW,Burnley,28,37,26,"2,388",12,2,2,2,8,0,13.8,3.3
38,harvey barnes,ENG,"MF,FW",Leicester City,20,16,11,"1,004",1,2,0,0,0,0,3.9,1.7
