,Name,Nationality,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Penalties,Penalty Attempts,Yellow Cards,Red Cards,xG,xA
0,patrick van aanholt,NED,DF,Crystal Palace,28,29,29,"2,507",3,2,1,1,0,0,2.1,3.7
1,max aarons,ENG,DF,Norwich City,19,36,36,"3,240",0,1,0,0,7,0,0.6,3.9
2,tammy abraham,ENG,FW,Chelsea,21,34,25,"2,215",15,3,0,0,2,0,16.4,2.7
3,che adams,SCO,FW,Southampton,23,30,12,"1,111",4,2,0,0,0,0,5.3,1.7
4,adrian,ESP,GK,Liverpool,32,11,9,875,0,0,0,0,1,0,0.0,0.0
5,sergio aguero,ARG,FW,Manchester City,31,24,18,"1,452",16,3,2,3,1,0,14.5,2.3
6,albian ajeti,SUI,FW,West Ham,22,9,0,139,0,0,0,0,0,0,0.2,0.1
7,nathan ake,NED,DF,Bournemouth,24,29,29,"2,503",2,2,0,0,2,0,3.0,2.2
8,marc albrighton,ENG,"MF,DF",Leicester City,29,20,9,867,0,3,0,0,2,0,0.4,2.2
9,toby alderweireld,BEL,DF,Tottenham,30,33,33,"2,957",2,2,0,0,7,0,0.7,1.3
10,trent alexander-arnold,ENG,DF,Liverpool,20,38,35,"3,175",4,13,0,0,5,0,2.8,10.9
11,alisson,BRA,GK,Liverpool,26,29,29,"2,543",0,1,0,0,0,1,0.0,0.3
12,dele alli,ENG,"MF,FW",Tottenham,23,25,21,"1,847",8,4,1,1,2,0,8.1,3.5
13,miguel almiron,PAR,"MF,FW",Newcastle Utd,25,36,35,"3,021",4,2,0,0,5,0,6.7,3.0
14,marcos alonso,ESP,DF,Chelsea,28,18,15,"1,430",4,2,0,0,4,0,2.6,2.6
15,steven alzate,COL,"MF,DF",Brighton,20,19,12,"1,188",0,0,0,0,1,0,1.2,0.7
16,ibrahim amadou,FRA,"DF,MF",Norwich City,26,11,8,759,0,0,0,0,1,0,0.8,0.0
17,felipe anderson,BRA,"MF,FW",West Ham,26,25,20,"1,497",1,4,0,0,1,0,2.5,3.1
18,florin andone,ROU,FW,Brighton,26,3,1,73,1,0,0,0,0,1,0.4,0.1
19,angelino,ESP,DF,Manchester City,22,6,4,423,0,0,0,0,1,0,0.2,1.5
20,faustino anjorin,ENG,FW,Chelsea,17,1,0,20,0,0,0,0,0,0,0.0,0.0
21,michail antonio,JAM,FW,West Ham,29,24,19,"1,768",10,3,1,1,3,0,12.9,3.7
22,stuart armstrong,SCO,MF,Southampton,27,30,19,"1,715",5,3,0,0,4,0,2.8,2.0
23,kepa arrizabalaga,ESP,GK,Chelsea,24,33,33,"2,970",0,0,0,0,0,0,0.0,0.0
24,christian atsu,GHA,"MF,FW",Newcastle Utd,27,19,6,749,0,3,0,0,2,0,0.2,1.3
25,,,,,,,,,,,,,,,,
26,pierre-emerick aubameyang,GAB,FW,Arsenal,30,36,35,"3,136",22,3,2,2,3,1,14.7,3.3
27,serge aurier,CIV,DF,Tottenham,26,33,31,"2,700",1,5,0,0,4,1,0.5,3.4
28,jordan ayew,GHA,FW,Crystal Palace,27,37,37,"3,148",9,2,0,0,6,0,7.5,2.5
29,cesar azpilicueta,ESP,DF,Chelsea,29,36,36,"3,229",2,6,0,0,1,0,2.4,6.0
30,eric bailly,CIV,DF,Manchester Utd,25,4,1,150,0,0,0,0,0,0,0.0,0.0
31,leighton baines,ENG,DF,Everton,34,8,4,404,0,0,0,0,0,0,0.1,0.8
32,fabian balbuena,PAR,DF,West Ham,27,17,13,"1,177",1,0,0,0,2,0,1.5,0.5
33,george baldock,GRE,DF,Sheffield Utd,26,38,38,"3,420",2,3,0,0,7,0,0.6,1.7
34,phil bardsley,SCO,DF,Burnley,34,21,21,"1,890",0,1,0,0,6,0,0.3,1.4
35,ross barkley,ENG,MF,Chelsea,25,21,13,"1,103",1,4,0,0,0,0,2.7,2.3
36,ashley barnes,ENG,FW,Burnley,29,19,17,"1,352",6,0,1,1,4,0,6.2,0.3
37,harvey barnes,ENG,"MF,FW",Leicester City,21,36,24,"2,083",6,8,0,0,0,0,8.1,4.1
38,chris basham,ENG,DF,Sheffield Utd,31,38,38,"3,242",0,1,0,0,4,0,0.3,1.3
39,borja baston,ESP,"MF,FW",Aston Villa,26,2,0,18,0,0,0,0,0,0,0.0,0.0
40,michy batshuayi,BEL,FW,Chelsea,25,16,1,239,1,1,0,0,0,0,2.4,0.2
41,jan bednarek,POL,DF,Southampton,23,34,34,"3,057",1,1,0,0,4,0,1.1,1.1
42,hector bellerin,ESP,"DF,MF",Arsenal,24,15,13,"1,158",1,0,0,0,2,0,0.4,0.4
43,ryan bennett,ENG,DF,Wolves,29,11,7,606,0,0,0,0,2,0,0.1,0.1
44,ryan bennett,ENG,DF,Leicester City,29,5,3,331,0,0,0,0,0,0,0.0,0.0
45,nabil bentaleb,ALG,MF,Newcastle Utd,24,12,8,751,0,0,0,0,2,0,0.1,0.2
46,christian benteke,BEL,FW,Crystal Palace,28,24,13,"1,261",2,1,0,0,4,1,5.1,2.6
47,johann berg guðmundsson,ISL,MF,Burnley,28,12,6,621,1,1,0,0,0,0,0.6,1.0
48,sander berge,NOR,MF,Sheffield Utd,21,14,12,943,1,1,0,0,0,0,0.6,0.6
49,steven bergwijn,NED,"FW,MF",Tottenham,21,14,8,704,3,1,0,0,2,0,1.0,0.9
50,bernard,BRA,"MF,FW",Everton,26,27,15,"1,280",3,2,0,0,2,0,1.8,2.4
51,,,,,,,,,,,,,,,,
52,bernardo,BRA,"DF,MF",Brighton,24,14,7,679,0,0,0,0,1,0,0.5,1.1
53,ryan bertrand,ENG,DF,Southampton,29,32,31,"2,742",1,1,0,0,3,1,1.7,3.3
54,muhamed besic,BIH,MF,Sheffield Utd,26,9,2,250,0,0,0,0,2,0,0.2,0.1
55,philip billing,DEN,MF,Bournemouth,23,34,29,"2,530",1,1,0,0,8,0,2.0,1.7
56,yves bissouma,MLI,MF,Brighton,22,22,15,"1,259",1,0,0,0,4,0,0.4,0.2
57,willy boly,CIV,DF,Wolves,28,22,22,"1,979",0,1,0,0,3,1,0.4,1.1
58,gaetan bong,CMR,"DF,MF",Brighton,31,4,0,59,0,0,0,0,0,0,0.0,0.2
59,sofiane boufal,MAR,"MF,FW",Southampton,25,20,8,764,0,2,0,0,2,0,1.0,2.9
60,jarrod bowen,ENG,"FW,MF",West Ham,22,13,11,917,1,4,0,0,0,0,2.3,2.7
61,robbie brady,IRL,MF,Burnley,27,17,5,454,1,2,0,0,1,0,1.1,0.4
62,jarrad branthwaite,ENG,DF,Everton,17,4,2,300,0,0,0,0,0,0,0.0,0.0
63,claudio bravo,CHI,GK,Manchester City,36,4,3,347,0,0,0,0,0,0,0.0,0.0
64,armando broja,ALB,FW,Chelsea,17,1,0,5,0,0,0,0,0,0,0.0,0.0
65,david brooks,WAL,"MF,FW",Bournemouth,22,9,8,506,1,0,0,0,1,0,0.5,0.3
66,josh brownhill,ENG,MF,Burnley,23,10,9,805,0,0,0,0,2,0,0.5,0.1
67,emi buendia,ARG,"FW,MF",Norwich City,22,36,28,"2,464",1,7,0,0,6,1,2.2,6.8
68,dan burn,ENG,DF,Brighton,27,34,33,"2,880",0,0,0,0,5,0,1.2,1.3
69,sam byram,ENG,DF,Norwich City,25,17,15,"1,293",0,0,0,0,4,0,1.4,0.4
70,willy caballero,ARG,GK,Chelsea,37,5,5,450,0,0,0,0,0,0,0.0,0.0
71,gary cahill,ENG,DF,Crystal Palace,33,25,25,"2,167",0,1,0,0,1,0,1.6,0.2
72,dominic calvert-lewin,ENG,FW,Everton,22,36,30,"2,626",13,1,0,0,9,0,15.3,1.5
73,victor camarasa,ESP,FW,Crystal Palace,25,1,0,6,0,0,0,0,0,0,0.0,0.0
74,joao cancelo,POR,DF,Manchester City,25,17,13,"1,208",0,0,0,0,4,0,0.6,2.8
75,todd cantwell,ENG,"FW,MF",Norwich City,21,37,30,"2,489",6,2,0,0,6,0,5.4,1.9
