,Name,Nationality,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Penalties,Penalty Attempts,Yellow Cards,Red Cards,xG,xA
0,patrick van aanholt,NED,DF,Crystal Palace,26,28,25,"2,184",5,1,0,0,7,0,3.1,2.1
1,rolando aarons,ENG,"MF,FW",Newcastle Utd,21,4,1,139,0,0,0,0,0,0,0.1,0.0
2,tammy abraham,ENG,FW,Swansea City,19,31,15,"1,726",5,1,0,0,0,0,6.8,1.6
3,charlie adam,SCO,MF,Stoke City,31,11,5,411,0,0,0,1,2,1,1.6,1.2
4,adrian,ESP,GK,West Ham,30,19,19,"1,710",0,0,0,0,2,0,0.0,0.0
5,ibrahim afellay,NED,MF,Stoke City,31,6,1,166,0,0,0,0,1,0,0.0,0.0
6,benik afobe,COD,FW,Bournemouth,24,17,5,611,0,0,0,0,0,0,1.6,0.1
7,sergio aguero,ARG,FW,Manchester City,29,25,22,"1,963",21,6,4,4,2,0,16.2,5.6
8,nathan ake,NED,DF,Bournemouth,22,38,37,"3,353",2,3,0,0,5,0,1.4,1.9
9,marc albrighton,ENG,"MF,FW",Leicester City,27,34,30,"2,538",2,7,0,0,5,1,1.6,5.7
10,toby alderweireld,BEL,DF,Tottenham,28,14,13,"1,178",0,0,0,0,3,0,0.4,0.1
11,trent alexander-arnold,ENG,DF,Liverpool,18,19,18,"1,573",1,1,0,0,3,0,1.0,2.6
12,joe allen,WAL,MF,Stoke City,27,36,36,"3,139",2,6,0,0,8,0,1.8,2.8
13,dele alli,ENG,"MF,FW",Tottenham,21,36,34,"2,958",9,10,0,0,7,0,9.1,8.2
14,marcos alonso,ESP,"DF,MF",Chelsea,26,33,33,"2,855",7,2,0,0,6,0,4.1,2.8
15,daniel amartey,GHA,DF,Leicester City,22,8,6,487,0,0,0,0,1,2,0.0,0.0
16,ethan ampadu,WAL,DF,Chelsea,16,1,0,11,0,0,0,0,0,0,0.0,0.0
17,nordin amrabat,MAR,FW,Watford,30,3,3,198,0,0,0,0,0,0,0.1,0.1
18,michail antonio,JAM,"FW,MF",West Ham,27,21,16,"1,354",3,1,0,0,1,0,2.4,1.0
19,scott arfield,CAN,"MF,FW",Burnley,28,18,15,"1,333",2,1,0,0,3,0,1.3,0.4
20,marko arnautovic,AUT,"FW,MF",West Ham,28,31,28,"2,313",11,6,0,0,5,1,8.6,4.3
21,harry arter,IRL,MF,Bournemouth,27,13,11,960,1,0,0,0,4,0,0.3,0.2
22,christian atsu,GHA,"FW,MF",Newcastle Utd,25,28,19,"1,784",2,2,0,0,1,0,4.0,2.6
23,pierre-emerick aubameyang,GAB,FW,Arsenal,28,13,12,"1,057",10,4,1,2,0,0,8.4,1.1
24,serge aurier,CIV,DF,Tottenham,24,17,16,"1,429",2,2,0,0,2,2,0.8,2.6
25,,,,,,,,,,,,,,,,
26,charlie austin,ENG,FW,Southampton,28,24,10,"1,037",7,0,1,1,2,0,7.1,0.8
27,andre ayew,GHA,"MF,FW",West Ham,27,18,9,895,3,2,0,1,2,0,3.3,0.3
28,andre ayew,GHA,"MF,FW",Swansea City,27,12,10,950,0,2,0,0,3,0,1.9,1.3
29,jordan ayew,GHA,"FW,MF",Swansea City,25,36,33,"2,852",7,2,1,1,2,1,7.3,2.0
30,cesar azpilicueta,ESP,DF,Chelsea,27,37,37,"3,330",2,6,0,0,1,0,1.3,4.8
31,eric bailly,CIV,DF,Manchester Utd,23,13,11,"1,001",1,0,0,0,2,0,1.1,0.2
