,Name,Nationality,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Penalties,Penalty Attempts,Yellow Cards,Red Cards,xG,xA
0,brenden aaronson,USA,"MF,FW",Leeds United,21,36,28,"2,372",1,3,0,0,2,0,3.9,4.2
1,george abbott,ENG,MF,Tottenham,16,1,0,1,0,0,0,0,0,0,0.0,0.0
2,che adams,SCO,FW,Southampton,26,28,23,"1,992",5,3,0,0,1,0,6.7,2.8
3,tyler adams,USA,MF,Leeds United,23,24,24,"2,156",0,0,0,0,6,1,0.1,1.4
4,tosin adarabioyo,ENG,DF,Fulham,24,25,23,"2,085",1,0,0,0,4,0,0.7,0.4
5,nayef aguerd,MAR,DF,West Ham,26,18,17,"1,595",2,0,0,0,4,0,2.2,0.5
6,naouirou ahamada,FRA,"MF,FW",Crystal Palace,20,8,0,94,0,0,0,0,1,0,0.2,0.1
7,rayan ait-nouri,ALG,DF,Wolves,21,21,9,"1,076",1,0,0,0,4,0,0.7,1.0
8,kristoffer ajer,NOR,DF,Brentford,24,9,9,763,0,0,0,0,0,0,0.0,0.0
9,manuel akanji,SUI,DF,Manchester City,27,29,24,"2,287",0,1,0,0,2,0,1.3,0.4
10,nathan ake,NED,DF,Manchester City,27,26,22,"1,873",1,0,0,0,2,0,1.6,0.7
11,marc albrighton,ENG,"FW,MF",Leicester City,32,6,1,237,1,0,0,0,0,0,0.3,0.9
12,thiago alcantara,ESP,MF,Liverpool,31,18,14,"1,254",0,0,0,0,2,0,0.4,1.1
13,carlos alcaraz,ARG,"MF,FW",Southampton,19,18,13,"1,029",4,2,0,0,3,0,1.9,0.7
14,trent alexander-arnold,ENG,DF,Liverpool,23,37,34,"2,923",2,9,0,0,5,0,2.4,11.5
15,alisson,BRA,GK,Liverpool,29,37,37,"3,330",0,1,0,0,1,0,0.0,0.3
16,dele alli,ENG,MF,Everton,26,2,0,40,0,0,0,0,0,0,0.0,0.0
17,miguel almiron,PAR,FW,Newcastle Utd,28,34,29,"2,491",11,2,0,0,2,0,8.0,3.2
18,julian alvarez,ARG,"FW,MF",Manchester City,22,31,13,"1,465",9,0,1,1,0,0,7.0,1.8
19,daniel amartey,GHA,DF,Leicester City,27,20,18,"1,610",0,0,0,0,1,0,1.1,0.5
20,samuel amo-ameyaw,ENG,MF,Southampton,16,1,0,4,0,0,0,0,0,0,0.0,0.0
21,joachim andersen,DEN,DF,Crystal Palace,26,32,32,"2,782",1,0,0,0,8,0,1.8,1.3
