,Name,Nationality,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Penalties,Penalty Attempts,Yellow Cards,Red Cards,xG,xA
22,elliot anderson,ENG,"MF,FW",Newcastle Utd,19,22,3,410,0,1,0,0,0,0,1.0,1.3
23,jaidon anthony,ENG,"MF,FW",Bournemouth,22,30,11,"1,257",3,1,0,0,2,0,2.2,1.0
24,michail antonio,JAM,FW,West Ham,32,33,21,"1,829",5,3,0,0,2,0,6.6,1.3
25,,,,,,,,,,,,,,,,
26,antony,BRA,FW,Manchester Utd,22,25,23,"1,802",4,2,0,0,5,0,6.6,2.9
27,cameron archer,ENG,"FW,MF",Aston Villa,21,6,0,49,0,0,0,0,0,0,0.0,0.0
28,alphonse areola,FRA,GK,West Ham,29,5,2,309,0,0,0,0,0,0,0.0,0.0
29,joe aribo,NGA,"MF,FW",Southampton,26,21,13,"1,224",2,0,0,0,2,0,1.5,0.8
30,adam armstrong,ENG,"FW,MF",Southampton,25,30,14,"1,335",2,1,0,0,2,0,2.1,1.3
31,stuart armstrong,SCO,"MF,FW",Southampton,30,32,14,"1,408",2,1,0,0,6,0,2.4,2.2
32,kepa arrizabalaga,ESP,GK,Chelsea,27,29,29,"2,565",0,0,0,0,1,0,0.0,0.0
33,pierre-emerick aubameyang,GAB,FW,Chelsea,33,15,5,554,1,0,0,0,1,0,1.5,0.4
34,ludwig augustinsson,SWE,DF,Aston Villa,28,3,1,77,0,0,0,0,1,0,0.1,0.0
35,serge aurier,CIV,DF,Nott'ham Forest,29,24,22,"1,943",1,0,0,0,2,0,0.8,1.0
36,taiwo awoniyi,NGA,FW,Nott'ham Forest,24,27,17,"1,404",10,1,0,0,2,0,6.6,1.1
37,yasin ayari,SWE,MF,Brighton,18,3,1,67,0,0,0,0,0,0,0.0,0.1
38,andre ayew,GHA,"FW,MF",Nott'ham Forest,32,13,1,316,0,0,0,1,1,0,1.0,0.0
39,jordan ayew,GHA,"FW,MF",Crystal Palace,30,38,31,"2,714",4,3,0,0,5,0,3.2,3.2
40,luke ayling,ENG,DF,Leeds United,30,29,22,"2,054",2,1,0,0,3,0,3.2,2.0
41,cesar azpilicueta,ESP,DF,Chelsea,32,25,16,"1,527",0,0,0,0,3,0,0.4,1.1
42,benoit badiashile,FRA,DF,Chelsea,21,11,10,905,1,0,0,0,2,0,1.2,0.5
43,leon bailey,JAM,"FW,MF",Aston Villa,24,33,26,"1,967",4,4,0,0,4,0,5.3,4.8
44,stefan bajcetic,ESP,MF,Liverpool,17,11,6,526,1,0,0,0,2,0,0.8,0.4
45,dominic ballard,ENG,"FW,MF",Southampton,17,2,0,26,0,0,0,0,0,0,0.0,0.0
46,patrick bamford,ENG,FW,Leeds United,28,28,18,"1,515",4,2,0,2,3,0,8.5,1.0
47,shandon baptiste,GRN,MF,Brentford,24,23,4,618,0,1,0,0,3,1,0.4,1.1
48,harvey barnes,ENG,"FW,MF",Leicester City,24,34,32,"2,711",13,1,0,0,3,0,8.9,3.1
49,gavin bazunu,IRL,GK,Southampton,20,32,32,"2,880",0,0,0,0,0,0,0.0,0.1
50,mads bech sørensen,DEN,"DF,MF",Brentford,23,4,0,21,0,0,0,0,0,0,0.0,0.0
51,,,,,,,,,,,,,,,,
52,jan bednarek,POL,DF,Southampton,26,20,20,"1,672",0,0,0,0,5,0,0.4,0.1
53,jan bednarek,POL,DF,Aston Villa,26,3,1,100,0,0,0,0,0,0,0.0,0.0
54,donny van de beek,NED,MF,Manchester Utd,25,7,2,167,0,0,0,0,0,0,0.1,0.1
55,asmir begovic,BIH,GK,Everton,35,1,1,90,0,0,0,0,0,0,0.0,0.0
56,armel bella kotchap,GER,DF,Southampton,20,24,24,"1,879",0,2,0,0,4,0,1.0,1.0
57,said benrahma,ALG,"FW,MF",West Ham,26,35,22,"2,069",6,3,4,4,0,0,7.0,4.5
58,rodrigo bentancur,URU,MF,Tottenham,25,18,17,"1,500",5,2,0,0,8,0,2.2,0.8
59,daniel bentley,ENG,GK,Wolves,29,2,2,180,0,0,0,0,0,0,0.0,0.0
60,victor bernth kristiansen,DEN,DF,Leicester City,19,12,11,892,0,1,0,0,2,0,0.1,0.8
61,owen bevan,WAL,DF,Bournemouth,18,1,0,9,0,0,0,0,0,0,0.0,0.0
62,giulian biancone,FRA,DF,Nott'ham Forest,22,2,0,17,0,0,0,0,0,0,0.0,0.0
63,philip billing,DEN,"MF,FW",Bournemouth,26,36,34,"2,764",7,1,0,0,5,0,4.9,3.2
64,yves bissouma,MLI,MF,Tottenham,25,23,10,"1,010",0,0,0,0,6,0,0.2,0.5
65,willy boly,CIV,DF,Nott'ham Forest,31,11,9,685,0,1,0,0,2,0,0.0,0.2
66,sven botman,NED,DF,Newcastle Utd,22,36,35,"3,127",0,0,0,0,2,0,2.5,1.0
67,jarrod bowen,ENG,"FW,MF",West Ham,25,38,36,"3,233",6,5,1,2,2,0,8.9,7.4
68,james bree,ENG,DF,Southampton,24,5,4,367,0,0,0,0,1,0,0.0,0.2
69,armando broja,ALB,FW,Chelsea,20,12,2,294,1,0,0,0,0,0,0.8,0.1
70,david brooks,WAL,"FW,MF",Bournemouth,25,6,2,173,0,0,0,0,1,0,0.3,0.2
71,lewis brunt,ENG,DF,Leicester City,21,1,0,23,0,0,0,0,0,0,0.0,0.0
72,emi buendia,ARG,"MF,FW",Aston Villa,25,38,27,"2,412",5,2,0,0,0,0,6.3,5.7
73,hugo bueno,ESP,DF,Wolves,19,21,16,"1,310",0,1,0,0,1,0,0.2,1.3
74,facundo buonanotte,ARG,"FW,MF",Brighton,17,13,6,565,1,1,0,0,2,0,1.4,0.5
75,dan burn,ENG,DF,Newcastle Utd,30,38,35,"3,111",1,0,0,0,5,0,2.1,1.3
76,cafu,POR,MF,Nott'ham Forest,29,1,0,7,0,0,0,0,0,0,0.0,0.0
77,,,,,,,,,,,,,,,,
78,moises caicedo,ECU,MF,Brighton,20,37,34,"3,139",1,1,0,0,10,0,1.7,2.7
79,tom cairney,SCO,MF,Fulham,31,33,6,988,2,0,0,0,2,0,1.5,1.4
80,duje caleta-car,CRO,DF,Southampton,25,13,9,946,1,0,0,0,2,0,0.8,0.0
81,dominic calvert-lewin,ENG,FW,Everton,25,17,15,"1,165",2,1,1,1,3,0,5.8,0.8
82,chem campbell,WAL,"FW,MF",Wolves,19,5,0,74,0,0,0,0,0,0,0.1,0.0
83,joao cancelo,POR,DF,Manchester City,28,17,16,"1,274",2,1,0,0,3,1,0.8,0.9
84,thomas cannon,IRL,FW,Everton,19,2,0,25,0,0,0,0,0,0,0.1,0.5
85,sergi canos,ESP,"FW,DF",Brentford,25,5,0,77,0,0,0,0,0,0,0.1,0.0
86,diego carlos,BRA,DF,Aston Villa,29,3,2,205,0,0,0,0,0,0,0.4,0.0
87,fabio carvalho,POR,"MF,FW",Liverpool,19,13,4,347,2,0,0,0,0,0,1.1,0.1
88,casemiro,BRA,MF,Manchester Utd,30,28,24,"2,124",4,3,0,0,7,2,3.4,3.1
89,matty cash,POL,DF,Aston Villa,24,26,20,"1,820",0,1,0,0,4,0,0.2,0.7
90,timothy castagne,BEL,DF,Leicester City,26,37,36,"3,254",2,3,0,0,3,0,2.2,2.6
91,jonny castro,ESP,DF,Wolves,28,18,14,"1,261",1,0,0,0,3,1,0.3,1.0
92,nathaniel chalobah,ENG,MF,Fulham,27,4,1,12,0,0,0,0,0,1,0.1,0.0
93,trevoh chalobah,ENG,DF,Chelsea,23,25,18,"1,608",0,0,0,0,4,0,0.9,0.3
94,calum chambers,ENG,"DF,MF",Aston Villa,27,14,2,353,0,0,0,0,2,0,0.1,0.3
95,shea charles,NIR,DF,Manchester City,18,1,0,28,0,0,0,0,0,0,0.0,0.0
96,ben chilwell,ENG,"DF,MF",Chelsea,25,23,15,"1,408",2,2,0,0,3,0,1.4,2.2
97,ryan christie,SCO,"MF,FW",Bournemouth,27,32,22,"1,834",1,1,0,0,2,0,2.7,2.4
98,carney chukwuemeka,ENG,"MF,FW",Chelsea,18,14,2,354,0,0,0,0,0,0,0.4,0.6
99,bobby clark,ENG,MF,Liverpool,17,1,0,8,0,0,0,0,0,0,0.0,0.0
100,nathaniel clyne,ENG,DF,Crystal Palace,31,22,19,"1,640",0,0,0,0,3,0,0.0,0.7
101,conor coady,ENG,DF,Everton,29,24,23,"2,096",1,1,0,0,2,0,0.8,0.3
102,jack colback,ENG,MF,Nott'ham Forest,32,11,4,497,0,0,0,0,0,0,0.0,0.2
103,,,,,,,,,,,,,,,,
104,seamus coleman,IRL,DF,Everton,33,23,20,"1,656",1,0,0,0,1,0,0.4,0.9
105,nathan collins,IRL,DF,Wolves,21,26,19,"1,814",0,0,0,0,2,1,0.2,0.1
106,levi colwill,ENG,DF,Brighton,19,17,13,"1,220",0,2,0,0,1,0,1.4,0.5
107,lewis cook,ENG,MF,Bournemouth,25,28,18,"1,720",0,2,0,0,4,0,0.2,2.5
108,steve cook,ENG,DF,Nott'ham Forest,31,12,11,957,0,0,0,0,4,0,0.1,0.6
109,liam cooper,SCO,DF,Leeds United,30,18,16,"1,426",1,0,0,0,5,0,1.0,0.7
110,maxwel cornet,CIV,FW,West Ham,25,14,2,245,0,0,0,0,0,0,1.3,0.1
111,diego costa,ESP,FW,Wolves,33,23,16,"1,241",1,0,0,0,5,1,3.2,0.7
112,vladimir coufal,CZE,DF,West Ham,29,27,24,"2,136",0,1,0,0,5,0,0.3,2.5
113,philippe coutinho,BRA,"MF,FW",Aston Villa,30,20,7,788,1,0,0,0,3,0,1.4,0.5
114,conor coventry,IRL,"MF,FW",West Ham,22,1,0,1,0,0,0,0,0,0,0.0,0.0
115,matthew craig,SCO,MF,Tottenham,19,1,0,14,0,0,0,0,0,0,0.0,0.0
116,aaron cresswell,ENG,DF,West Ham,32,28,24,"2,235",0,1,0,0,3,0,0.3,3.7
117,marc cucurella,ESP,DF,Chelsea,24,24,21,"1,671",0,2,0,0,4,0,0.4,0.6
118,matheus cunha,BRA,FW,Wolves,23,17,12,965,2,0,0,0,1,0,2.0,0.6
119,patson daka,ZAM,FW,Leicester City,23,30,13,"1,187",4,4,0,0,2,0,3.5,2.8
120,diogo dalot,POR,DF,Manchester Utd,23,26,24,"2,154",1,2,0,0,6,0,2.5,1.9
121,mikkel damsgaard,DEN,"MF,FW",Brentford,22,26,9,988,0,0,0,0,4,0,2.6,1.4
122,danilo,BRA,MF,Nott'ham Forest,21,13,12,976,3,2,0,0,1,0,1.5,0.7
123,arnaut danjuma,NED,"FW,MF",Tottenham,25,9,1,169,1,0,0,0,0,0,0.8,0.0
124,josh dasilva,ENG,MF,Brentford,23,36,14,"1,389",4,2,0,0,1,0,1.5,1.4
125,david datro fofana,CIV,FW,Chelsea,19,3,1,70,0,0,0,0,0,0,0.2,0.1
126,ben davies,WAL,DF,Tottenham,29,31,26,"2,288",2,2,0,0,4,0,1.0,2.5
127,tom davies,ENG,MF,Everton,24,19,4,538,0,0,0,0,3,0,1.2,0.2
128,craig dawson,ENG,DF,West Ham,32,8,8,720,0,0,0,0,2,0,0.5,0.1
129,,,,,,,,,,,,,,,,
130,craig dawson,ENG,DF,Wolves,32,17,17,"1,414",1,0,0,0,4,0,1.0,0.0
131,kevin de bruyne,BEL,MF,Manchester City,31,32,28,"2,417",7,16,0,0,1,0,5.6,13.7
132,siriki dembele,CIV,"FW,MF",Bournemouth,25,6,0,110,0,0,0,0,0,0,0.2,0.3
133,leander dendoncker,BEL,MF,Aston Villa,27,20,7,697,0,0,0,0,0,0,0.1,0.5
134,leander dendoncker,BEL,MF,Wolves,27,4,2,214,0,0,0,0,0,0,0.7,0.0
135,emmanuel dennis,NGA,"FW,MF",Nott'ham Forest,24,19,6,720,2,2,0,0,3,0,1.9,0.6
136,halil dervisoglu,TUR,MF,Brentford,22,1,0,8,0,0,0,0,0,0,0.0,0.0
137,kiernan dewsbury-hall,ENG,MF,Leicester City,23,31,28,"2,306",2,2,0,0,5,1,2.4,3.3
138,ibrahima diallo,FRA,MF,Southampton,23,18,11,819,0,0,0,0,4,0,0.2,0.1
139,ruben dias,POR,DF,Manchester City,25,26,22,"1,998",0,0,0,0,3,0,1.3,0.6
140,luis diaz,COL,FW,Liverpool,25,17,11,996,4,2,0,0,2,0,2.5,1.5
141,eric dier,ENG,DF,Tottenham,28,33,31,"2,818",2,1,0,0,3,0,1.6,1.2
142,lucas digne,FRA,DF,Aston Villa,29,28,18,"1,502",1,0,0,0,5,0,0.4,1.9
143,issa diop,FRA,DF,Fulham,25,25,21,"2,012",1,0,0,0,2,0,0.3,0.4
144,moussa djenepo,MLI,"DF,FW",Southampton,24,16,7,710,0,2,0,0,1,0,0.2,0.5
145,ben doak,SCO,FW,Liverpool,16,2,0,26,0,0,0,0,0,0,0.0,0.0
146,matt doherty,IRL,"DF,MF",Tottenham,30,12,7,667,1,0,0,0,0,0,0.8,0.3
147,abdoulaye doucoure,MLI,MF,Everton,29,25,17,"1,533",5,2,0,0,6,1,2.4,2.2
148,cheick doucoure,MLI,MF,Crystal Palace,22,34,34,"2,769",0,3,0,0,10,1,1.4,1.9
149,flynn downes,ENG,MF,West Ham,23,21,7,762,0,0,0,0,2,0,0.4,0.1
150,kami doyle,ENG,MF,Southampton,16,1,0,7,0,0,0,0,0,0,0.0,0.0
151,cody drameh,ENG,DF,Leeds United,20,1,1,69,0,0,0,0,0,0,0.0,0.0
152,martin dubravka,SVK,GK,Newcastle Utd,33,2,1,157,0,0,0,0,0,0,0.0,0.0
153,shane duffy,IRL,"DF,FW",Fulham,30,5,0,20,0,0,0,0,0,0,0.2,0.0
154,lewis dunk,ENG,DF,Brighton,30,36,36,"3,239",1,0,0,0,4,0,1.7,1.0
155,,,,,,,,,,,,,,,,
156,jhon duran,COL,"FW,MF",Aston Villa,18,12,0,136,0,0,0,0,1,0,0.6,0.0
157,malcolm ebiowei,ENG,"MF,FW",Crystal Palace,18,3,0,34,0,0,0,0,0,0,0.0,0.0
158,ederson,BRA,GK,Manchester City,28,35,35,"3,150",0,1,0,0,3,0,0.0,0.2
159,odsonne edouard,FRA,FW,Crystal Palace,24,35,20,"1,803",5,2,0,0,3,0,4.2,1.2
160,samuel edozie,ENG,"FW,MF",Southampton,19,17,5,567,0,0,0,0,0,0,0.9,0.4
161,anthony elanga,SWE,FW,Manchester Utd,20,16,5,426,0,1,0,0,0,0,0.7,0.9
162,harvey elliott,ENG,"MF,FW",Liverpool,19,32,18,"1,613",1,2,0,0,2,0,2.1,3.5
163,mohamed elneny,EGY,MF,Arsenal,30,5,1,113,0,0,0,0,0,0,0.0,0.0
164,mohamed elyounoussi,NOR,"MF,FW",Southampton,27,33,27,"2,168",1,1,0,0,4,0,3.5,2.1
165,emerson,BRA,DF,Tottenham,23,26,20,"1,735",2,1,0,0,2,1,1.7,0.6
166,julio enciso,PAR,"FW,MF",Brighton,18,20,7,806,4,2,0,0,1,0,4.0,1.7
167,christian eriksen,DEN,MF,Manchester Utd,30,28,25,"2,048",1,8,0,0,3,0,5.0,4.2
168,pervis estupinan,ECU,DF,Brighton,24,35,31,"2,675",1,5,0,0,4,0,1.7,5.4
169,jonny evans,NIR,DF,Leicester City,34,13,12,"1,051",0,0,0,0,1,0,0.2,0.0
170,eberechi eze,ENG,"MF,FW",Crystal Palace,24,38,30,"2,636",10,4,1,1,3,0,7.3,4.3
171,łukasz fabianski,POL,GK,West Ham,37,36,36,"3,111",0,0,0,0,1,0,0.0,0.0
172,fabinho,BRA,MF,Liverpool,28,36,31,"2,671",0,2,0,0,11,0,0.7,2.1
173,wout faes,BEL,DF,Leicester City,24,31,31,"2,786",1,2,0,0,6,1,1.2,0.6
174,felipe,BRA,DF,Nott'ham Forest,33,16,15,"1,418",0,1,0,0,4,0,1.2,0.9
175,joao felix,POR,"FW,MF",Chelsea,22,16,11,941,4,0,0,0,1,1,4.9,0.5
176,evan ferguson,IRL,FW,Brighton,17,19,10,950,6,2,0,0,1,0,5.3,0.7
177,bruno fernandes,POR,"MF,FW",Manchester Utd,27,37,37,"3,316",8,8,2,2,6,0,9.3,16.7
178,enzo fernandez,ARG,MF,Chelsea,21,18,18,"1,547",0,2,0,0,3,0,0.8,2.4
179,roberto firmino,BRA,"FW,MF",Liverpool,30,25,13,"1,213",11,4,0,0,0,0,5.5,2.5
180,junior firpo,DOM,DF,Leeds United,25,19,14,"1,368",1,1,0,0,6,1,0.1,0.8
181,,,,,,,,,,,,,,,,
182,phil foden,ENG,FW,Manchester City,22,32,22,"1,842",11,6,0,0,1,0,5.9,4.7
183,wesley fofana,FRA,DF,Leicester City,21,2,2,180,0,0,0,0,1,0,0.1,0.0
184,wesley fofana,FRA,DF,Chelsea,21,15,12,"1,183",1,0,0,0,3,0,0.7,0.1
185,pablo fornals,ESP,"FW,MF",West Ham,26,32,17,"1,503",3,1,0,0,0,0,2.2,1.7
186,adam forshaw,ENG,MF,Leeds United,30,12,5,479,0,0,0,0,0,0,0.0,0.9
187,fraser forster,ENG,GK,Tottenham,34,14,13,"1,215",0,0,0,0,1,0,0.0,0.0
188,tyrese francois,AUS,FW,Fulham,22,1,0,1,0,0,0,0,0,0,0.0,0.0
189,ryan fraser,SCO,FW,Newcastle Utd,28,8,3,313,0,0,0,0,1,0,0.3,0.4
190,fred,BRA,MF,Manchester Utd,29,35,12,"1,249",2,2,0,0,6,0,2.0,2.9
191,ryan fredericks,ENG,DF,Bournemouth,29,12,5,533,0,0,0,0,1,0,0.0,0.1
192,remo freuler,SUI,MF,Nott'ham Forest,30,28,24,"2,161",0,0,0,0,4,0,0.4,0.8
193,cody gakpo,NED,"FW,MF",Liverpool,23,21,17,"1,458",7,2,0,0,0,0,6.2,2.7
194,conor gallagher,ENG,MF,Chelsea,22,35,18,"1,621",3,1,0,0,11,1,2.5,2.3
195,idrissa gana gueye,SEN,MF,Everton,32,33,32,"2,577",0,1,0,0,7,0,0.7,1.1
196,alejandro garnacho,ARG,"FW,MF",Manchester Utd,18,19,5,569,3,2,0,0,3,0,3.0,1.0
197,james garner,ENG,"MF,DF",Everton,21,16,7,804,0,1,0,0,3,0,0.8,0.5
198,david de gea,ESP,GK,Manchester Utd,31,38,38,"3,420",0,0,0,0,0,0,0.0,0.1
199,joe gelhardt,ENG,FW,Leeds United,20,15,1,212,0,2,0,0,1,0,0.8,0.5
200,saman ghoddos,IRN,"MF,FW",Brentford,28,15,0,139,0,0,0,0,0,0,0.0,0.4
201,morgan gibbs-white,ENG,"FW,MF",Wolves,22,2,2,180,0,0,0,0,1,0,0.7,0.1
202,morgan gibbs-white,ENG,"MF,FW",Nott'ham Forest,22,35,34,"2,971",5,8,2,2,5,0,6.0,8.2
203,bryan gil,ESP,"MF,FW",Tottenham,21,4,2,148,0,1,0,0,1,0,0.1,0.2
204,billy gilmour,SCO,MF,Brighton,21,14,7,507,0,1,0,0,1,0,0.5,0.2
205,wilfried gnonto,ITA,"FW,MF",Leeds United,18,24,14,"1,354",2,4,0,0,7,0,1.8,2.2
206,ben godfrey,ENG,DF,Everton,24,13,10,802,0,1,0,0,2,0,1.2,0.2
207,,,,,,,,,,,,,,,,
208,joao gomes,BRA,MF,Wolves,21,11,7,653,1,0,0,0,5,0,0.3,0.2
209,toti gomes,POR,DF,Wolves,23,17,10,984,1,0,0,0,6,0,0.4,0.3
210,joe gomez,ENG,DF,Liverpool,25,21,15,"1,466",0,0,0,0,3,0,0.2,0.2
211,sergio gomez,ESP,"DF,MF",Manchester City,21,12,2,349,0,1,0,0,0,0,0.4,1.2
212,anthony gordon,ENG,"FW,MF",Newcastle Utd,21,16,4,487,1,0,0,0,1,0,1.7,0.9
213,anthony gordon,ENG,FW,Everton,21,16,12,"1,095",3,0,0,0,6,0,3.3,0.6
214,demarai gray,JAM,"FW,MF",Everton,26,33,27,"2,507",4,1,2,2,3,0,6.2,3.8
215,jack grealish,ENG,FW,Manchester City,26,28,23,"2,055",5,7,0,0,4,0,4.6,7.1
216,sam greenwood,ENG,"MF,FW",Leeds United,20,18,3,424,1,2,0,0,1,0,0.7,1.1
217,pascal groß,GER,"MF,DF",Brighton,31,37,37,"3,239",9,8,0,0,6,0,5.4,10.9
218,vicente guaita,ESP,GK,Crystal Palace,35,27,27,"2,430",0,0,0,0,1,0,0.0,0.0
219,goncalo guedes,POR,"FW,MF",Wolves,25,13,8,707,1,1,0,0,1,0,1.2,0.5
220,marc guehi,ENG,DF,Crystal Palace,22,37,37,"3,329",1,0,0,0,8,0,1.5,0.5
221,bruno guimaraes,BRA,MF,Newcastle Utd,24,32,32,"2,726",4,5,0,0,7,0,2.8,4.0
222,ilkay gundogan,GER,MF,Manchester City,31,31,27,"2,353",8,4,0,1,0,0,7.5,3.3
223,darko gyabi,ENG,FW,Leeds United,18,1,0,8,0,0,0,0,0,0,0.1,0.0
224,erling haaland,NOR,FW,Manchester City,22,35,33,"2,769",36,8,7,7,5,0,28.4,5.3
225,lewis hall,ENG,DF,Chelsea,17,9,8,654,0,0,0,0,1,0,0.9,2.2
226,luke harris,WAL,"MF,FW",Fulham,17,3,0,13,0,0,0,0,0,0,0.0,0.0
227,jack harrison,ENG,"FW,MF",Leeds United,25,36,34,"2,708",5,7,0,0,2,0,4.7,5.1
228,kai havertz,GER,"FW,MF",Chelsea,23,35,30,"2,569",7,1,1,1,5,0,11.6,3.8
229,jan paul van hecke,NED,DF,Brighton,22,8,3,295,0,0,0,0,2,0,0.6,0.0
230,hwang hee-chan,KOR,"FW,MF",Wolves,26,27,12,"1,130",3,1,0,0,1,0,2.9,1.1
231,dean henderson,ENG,GK,Nott'ham Forest,25,18,18,"1,620",0,0,0,0,2,0,0.0,0.0
232,jordan henderson,ENG,MF,Liverpool,32,35,23,"2,074",0,2,0,0,2,0,1.4,3.2
233,,,,,,,,,,,,,,,,
234,wayne hennessey,WAL,GK,Nott'ham Forest,35,4,3,271,0,0,0,0,0,0,0.0,0.0
235,rico henry,ENG,DF,Brentford,25,37,37,"3,238",0,2,0,0,4,0,1.5,2.6
236,son heung-min,KOR,"MF,FW",Tottenham,30,36,33,"2,888",10,6,0,0,2,0,10.1,6.5
237,aaron hickey,SCO,DF,Brentford,20,26,23,"1,916",0,1,0,0,7,0,0.4,0.4
238,jack hinshelwood,ENG,FW,Brighton,17,1,0,2,0,0,0,0,0,0,0.0,0.0
239,joseph hodge,IRL,MF,Wolves,19,6,1,175,0,0,0,0,1,0,0.3,0.1
240,rob holding,ENG,DF,Arsenal,26,14,6,566,1,0,0,0,0,0,0.3,0.0
241,mason holgate,ENG,DF,Everton,25,8,5,507,0,0,0,0,3,1,1.0,0.4
242,will hughes,ENG,MF,Crystal Palace,27,27,7,842,1,1,0,0,4,0,0.3,0.9
243,omari hutchinson,ENG,FW,Chelsea,18,1,0,23,0,0,0,0,0,0,0.0,0.0
244,pierre højbjerg,DEN,MF,Tottenham,26,35,35,"3,131",4,5,0,0,5,0,2.0,3.1
245,kelechi iheanacho,NGA,"FW,MF",Leicester City,25,28,11,"1,127",5,5,1,1,0,0,7.1,4.0
246,danny ings,ENG,FW,West Ham,30,17,7,775,2,2,0,0,1,0,3.0,1.0
247,danny ings,ENG,FW,Aston Villa,30,18,8,824,6,0,2,2,3,0,5.3,1.2
248,alexander isak,SWE,FW,Newcastle Utd,22,22,17,"1,522",10,1,2,2,3,0,8.2,2.2
249,daniel iversen,DEN,GK,Leicester City,25,12,12,"1,080",0,0,0,0,0,0,0.0,0.0
250,alex iwobi,NGA,"MF,FW",Everton,26,38,38,"3,378",2,7,0,0,2,0,2.5,6.1
251,daniel james,WAL,FW,Leeds United,24,4,2,198,0,0,0,0,0,0,0.3,0.3
252,daniel james,WAL,FW,Fulham,24,20,5,621,2,1,0,0,0,0,1.7,0.7
253,reece james,ENG,"DF,MF",Chelsea,22,16,14,"1,244",1,1,0,0,4,0,1.0,3.0
254,vitaly janelt,GER,"MF,DF",Brentford,24,35,24,"2,208",3,1,0,0,3,0,2.4,1.4
255,pontus jansson,SWE,DF,Brentford,31,12,9,724,1,0,0,0,0,0,0.3,0.0
256,mathias jensen,DEN,MF,Brentford,26,37,37,"2,803",5,6,0,0,5,0,2.1,5.0
257,gabriel jesus,BRA,FW,Arsenal,25,26,24,"2,064",11,6,1,1,6,0,13.9,3.9
258,raul jimenez,MEX,FW,Wolves,31,15,8,846,0,1,0,0,0,0,2.6,1.7
259,,,,,,,,,,,,,,,,
260,joelinton,BRA,"MF,FW",Newcastle Utd,25,32,30,"2,661",6,1,0,0,12,0,7.1,2.4
261,ben johnson,ENG,DF,West Ham,22,17,9,866,0,0,0,0,0,0,0.1,0.2
262,brennan johnson,WAL,"FW,MF",Nott'ham Forest,21,38,33,"2,934",8,3,1,3,6,0,8.6,3.2
263,sam johnstone,ENG,GK,Crystal Palace,29,9,9,810,0,0,0,0,1,0,0.0,0.0
264,curtis jones,ENG,MF,Liverpool,21,18,12,"1,035",3,1,0,0,2,0,1.2,1.1
265,jorginho,ITA,MF,Arsenal,30,14,9,855,0,1,0,0,0,0,0.2,0.2
266,jorginho,ITA,MF,Chelsea,30,18,15,"1,279",2,0,2,2,4,0,1.7,0.4
267,mateo joseph,ESP,"FW,MF",Leeds United,18,3,0,26,0,0,0,0,0,0,0.1,0.0
